Date,Value
1973-01-31,1219.0
1973-02-28,1126.0
1973-03-31,1049.0
1973-04-30,993.0
1973-05-31,1046.0
1973-06-30,1118.0
1973-07-31,1156.0
1973-08-31,1222.0
1973-09-30,1266.0
1973-10-31,1334.0
1973-11-30,1390.0
1973-12-31,1405.0
1974-01-31,1372.0
1974-02-28,1355.0
1974-03-31,1367.0
1974-04-30,1381.0
1974-05-31,1413.0
1974-06-30,1432.0
1974-07-31,1480.0
1974-08-31,1518.0
1974-09-30,1527.0
1974-10-31,1584.0
1974-11-30,1596.0
1974-12-31,1643.0
1975-01-31,1615.0
1975-02-28,1611.0
1975-03-31,1651.0
1975-04-30,1605.0
1975-05-31,1592.0
1975-06-30,1613.0
1975-07-31,1617.0
1975-08-31,1645.0
1975-09-30,1699.0
1975-10-31,1716.0
1975-11-30,1757.0
1975-12-31,1793.0
1976-01-31,1711.0
1976-02-29,1594.0
1976-03-31,1540.0
1976-04-30,1480.0
1976-05-31,1496.0
1976-06-30,1546.0
1976-07-31,1597.0
1976-08-31,1691.0
1976-09-30,1744.0
1976-10-31,1794.0
1976-11-30,1840.0
1976-12-31,1861.0
1977-01-31,1850.0
1977-02-28,1856.0
1977-03-31,1887.0
1977-04-30,1907.0
1977-05-31,1982.0
1977-06-30,2008.0
1977-07-31,2023.0
1977-08-31,2066.0
1977-09-30,2084.0
1977-10-31,2101.0
1977-11-30,2113.0
1977-12-31,2141.0
1978-01-31,2128.0
1978-02-28,2135.0
1978-03-31,2159.0
1978-04-30,2198.0
1978-05-31,2249.0
1978-06-30,2287.0
1978-07-31,2307.0
1978-08-31,2325.0
1978-09-30,2332.0
1978-10-31,2346.0
1978-11-30,2356.0
1978-12-31,2286.0
1979-01-31,2199.0
1979-02-28,2064.0
1979-03-31,1971.0
1979-04-30,1943.0
1979-05-31,1960.0
1979-06-30,1999.0
1979-07-31,2094.0
1979-08-31,2222.0
1979-09-30,2284.0
1979-10-31,2380.0
1979-11-30,2460.0
1979-12-31,2552.0
1980-01-31,2571.0
1980-02-29,2613.0
1980-03-31,2658.0
1980-04-30,2683.0
1980-05-31,2797.0
1980-06-30,2850.0
1980-07-31,2953.0
1980-08-31,3045.0
1980-09-30,3099.0
1980-10-31,3149.0
1980-11-30,3220.0
1980-12-31,3286.0
1981-01-31,3386.0
1981-02-28,3502.0
1981-03-31,3595.0
1981-04-30,3728.0
1981-05-31,3817.0
1981-06-30,3926.0
1981-07-31,3998.0
1981-08-31,4131.0
1981-09-30,4242.0
1981-10-31,4352.0
1981-11-30,4436.0
1981-12-31,4521.0
1982-01-31,4436.0
1982-02-28,4160.0
1982-03-31,3816.0
1982-04-30,3460.0
1982-05-31,3178.0
1982-06-30,2908.0
1982-07-31,2746.0
1982-08-31,2620.0
1982-09-30,4283.0
1982-10-31,2402.0
1982-11-30,2500.0
1982-12-31,2696.0
1983-01-31,2622.0
1983-02-28,2192.0
1983-03-31,2003.0
1983-04-30,1846.0
1983-05-31,1926.0
1983-06-30,1979.0
1983-07-31,2039.0
1983-08-31,2156.0
1983-09-30,2252.0
1983-10-31,2382.0
1983-11-30,2572.0
1983-12-31,2780.0
1984-01-31,2666.0
1984-02-29,2423.0
1984-03-31,2245.0
1984-04-30,2120.0
1984-05-31,2277.0
1984-06-30,2363.0
1984-07-31,2386.0
1984-08-31,2417.0
1984-09-30,2420.0
1984-10-31,2492.0
1984-11-30,2629.0
1984-12-31,2713.0
1985-01-31,2452.0
1985-02-28,2188.0
1985-03-31,1955.0
1985-04-30,1877.0
1985-05-31,1865.0
1985-06-30,1856.0
1985-07-31,1909.0
1985-08-31,1931.0
1985-09-30,1930.0
1985-10-31,1879.0
1985-11-30,1912.0
1985-12-31,1950.0
1986-01-31,1810.0
1986-02-28,1444.0
1986-03-31,1139.0
1986-04-30,906.0
1986-05-31,781.0
1986-06-30,705.0
1986-07-31,686.0
1986-08-31,730.0
1986-09-30,755.0
1986-10-31,819.0
1986-11-30,899.0
1986-12-31,963.0
1987-01-31,900.0
1987-02-28,818.0
1987-03-31,772.0
1987-04-30,754.0
1987-05-31,763.0
1987-06-30,788.0
1987-07-31,901.0
1987-08-31,1003.0
1987-09-30,1101.0
1987-10-31,1124.0
1987-11-30,1152.0
1987-12-31,1162.0
1988-01-31,1076.0
1988-02-29,976.0
1988-03-31,951.0
1988-04-30,917.0
1988-05-31,891.0
1988-06-30,897.0
1988-07-31,912.0
1988-08-31,930.0
1988-09-30,927.0
1988-10-31,923.0
1988-11-30,918.0
1988-12-31,924.0
1989-01-31,841.0
1989-02-28,762.0
1989-03-31,753.0
1989-04-30,771.0
1989-05-31,754.0
1989-06-30,795.0
1989-07-31,832.0
1989-08-31,886.0
1989-09-30,955.0
1989-10-31,984.0
1989-11-30,1041.0
1989-12-31,1065.0
1990-01-31,998.0
1990-02-28,911.0
1990-03-31,905.0
1990-04-30,935.0
1990-05-31,961.0
1990-06-30,999.0
1990-07-31,1010.0
1990-08-31,987.0
1990-09-30,1042.0
1990-10-31,1073.0
1990-11-30,1137.0
1990-12-31,1136.0
1991-01-31,1068.0
1991-02-28,984.0
1991-03-31,929.0
1991-04-30,865.0
1991-05-31,819.0
1991-06-30,867.0
1991-07-31,844.0
1991-08-31,803.0
1991-09-30,775.0
1991-10-31,795.0
1991-11-30,808.0
1991-12-31,796.0
1992-01-31,710.0
1992-02-29,669.0
1992-03-31,648.0
1992-04-30,642.0
1992-05-31,638.0
1992-06-30,621.0
1992-07-31,676.0
1992-08-31,686.0
1992-09-30,717.0
1992-10-31,803.0
1992-11-30,882.0
1992-12-31,926.0
1993-01-31,824.0
1993-02-28,684.0
1993-03-31,611.0
1993-04-30,612.0
1993-05-31,637.0
1993-06-30,695.0
1993-07-31,741.0
1993-08-31,797.0
1993-09-30,848.0
1993-10-31,860.0
1993-11-30,868.0
1993-12-31,857.0
1994-01-31,789.0
1994-02-28,754.0
1994-03-31,735.0
1994-04-30,723.0
1994-05-31,716.0
1994-06-30,756.0
1994-07-31,771.0
1994-08-31,766.0
1994-09-30,809.0
1994-10-31,822.0
1994-11-30,835.0
1994-12-31,816.0
1995-01-31,748.0
1995-02-28,713.0
1995-03-31,665.0
1995-04-30,678.0
1995-05-31,679.0
1995-06-30,674.0
1995-07-31,723.0
1995-08-31,745.0
1995-09-30,765.0
1995-10-31,761.0
1995-11-30,772.0
1995-12-31,763.0
1996-01-31,709.0
1996-02-29,700.0
1996-03-31,714.0
1996-04-30,741.0
1996-05-31,764.0
1996-06-30,774.0
1996-07-31,784.0
1996-08-31,811.0
1996-09-30,811.0
1996-10-31,836.0
1996-11-30,848.0
1996-12-31,852.0
1997-01-31,822.0
1997-02-28,849.0
1997-03-31,897.0
1997-04-30,901.0
1997-05-31,924.0
1997-06-30,976.0
1997-07-31,969.0
1997-08-31,993.0
1997-09-30,1009.0
1997-10-31,996.0
1997-11-30,983.0
1997-12-31,1013.0
1998-01-31,993.0
1998-02-28,974.0
1998-03-31,932.0
1998-04-30,886.0
1998-05-31,855.0
1998-06-30,854.0
1998-07-31,816.0
1998-08-31,792.0
1998-09-30,774.0
1998-10-31,734.0
1998-11-30,688.0
1998-12-31,647.0
1999-01-31,587.0
1999-02-28,542.0
1999-03-31,526.0
1999-04-30,496.0
1999-05-31,516.0
1999-06-30,558.0
1999-07-31,588.0
1999-08-31,639.0
1999-09-30,696.0
1999-10-31,741.0
1999-11-30,782.0
1999-12-31,798.0
2000-01-31,775.0
2000-02-29,763.0
2000-03-31,773.0
2000-04-30,805.0
2000-05-31,844.0
2000-06-30,878.0
2000-07-31,942.0
2000-08-31,987.0
2000-09-30,1011.0
2000-10-31,1055.0
2000-11-30,1067.0
2000-12-31,1097.0
2001-01-31,1118.0
2001-02-28,1136.0
2001-03-31,1163.0
2001-04-30,1206.0
2001-05-31,1234.0
2001-06-30,1270.0
2001-07-31,1278.0
2001-08-31,1252.0
2001-09-30,1193.0
2001-10-31,1111.0
2001-11-30,1000.0
2001-12-31,901.0
2002-01-31,867.0
2002-02-28,825.0
2002-03-31,763.0
2002-04-30,750.0
2002-05-31,826.0
2002-06-30,842.0
2002-07-31,851.0
2002-08-31,848.0
2002-09-30,860.0
2002-10-31,851.0
2002-11-30,834.0
2002-12-31,856.0
2003-01-31,854.0
2003-02-28,907.0
2003-03-31,941.0
2003-04-30,983.0
2003-05-31,1034.0
2003-06-30,1067.0
2003-07-31,1081.0
2003-08-31,1090.0
2003-09-30,1093.0
2003-10-31,1102.0
2003-11-30,1111.0
2003-12-31,1114.0
2004-01-31,1101.0
2004-02-29,1119.0
2004-03-31,1135.0
2004-04-30,1151.0
2004-05-31,1164.0
2004-06-30,1176.0
2004-07-31,1213.0
2004-08-31,1234.0
2004-09-30,1240.0
2004-10-31,1240.0
2004-11-30,1262.0
2004-12-31,1246.0
2005-01-31,1255.0
2005-02-28,1276.0
2005-03-31,1306.0
2005-04-30,1334.0
2005-05-31,1320.0
2005-06-30,1355.0
2005-07-31,1398.0
2005-08-31,1436.0
2005-09-30,1452.0
2005-10-31,1479.0
2005-11-30,1486.0
2005-12-31,1470.0
2006-01-31,1473.0
2006-02-28,1533.0
2006-03-31,1551.0
2006-04-30,1597.0
2006-05-31,1635.0
2006-06-30,1665.0
2006-07-31,1681.0
2006-08-31,1738.0
2006-09-30,1739.0
2006-10-31,1734.0
2006-11-30,1706.0
2006-12-31,1718.0
2007-01-31,1714.0
2007-02-28,1736.0
2007-03-31,1749.0
2007-04-30,1750.0
2007-05-31,1748.0
2007-06-30,1771.0
2007-07-31,1777.0
2007-08-31,1804.0
2007-09-30,1783.0
2007-10-31,1762.0
2007-11-30,1798.0
2007-12-31,1811.0
2008-01-31,1749.0
2008-02-29,1765.0
2008-03-31,1797.0
2008-04-30,1829.0
2008-05-31,1863.0
2008-06-30,1902.0
2008-07-31,1932.0
2008-08-31,1987.0
2008-09-30,2014.0
2008-10-31,1976.0
2008-11-30,1935.0
2008-12-31,1782.0
2009-01-31,1553.0
2009-02-28,1320.0
2009-03-31,1105.0
2009-04-30,995.0
2009-05-31,918.0
2009-06-30,895.0
2009-07-31,931.0
2009-08-31,980.0
2009-09-30,1009.0
2009-10-31,1044.0
2009-11-30,1107.0
2009-12-31,1172.0
2010-01-31,1267.0
2010-02-28,1350.0
2010-03-31,1419.0
2010-04-30,1479.0
2010-05-31,1513.0
2010-06-30,1531.0
2010-07-31,1573.0
2010-08-31,1638.0
2010-09-30,1655.0
2010-10-31,1668.0
2010-11-30,1683.0
2010-12-31,1711.0
2011-01-31,1711.0
2011-02-28,1718.0
2011-03-31,1720.0
2011-04-30,1790.0
2011-05-31,1836.0
2011-06-30,1863.0
2011-07-31,1900.0
2011-08-31,1957.0
2011-09-30,1978.0
2011-10-31,2017.0
2011-11-30,2011.0
2011-12-31,2003.0
2012-01-31,2003.0
2012-02-29,1990.0
2012-03-31,1979.0
2012-04-30,1961.0
2012-05-31,1977.0
2012-06-30,1972.0
2012-07-31,1944.0
2012-08-31,1913.0
2012-09-30,1859.0
2012-10-31,1834.0
2012-11-30,1809.0
2012-12-31,1784.0
2013-01-31,1756.0
2013-02-28,1762.0
2013-03-31,1756.0
2013-04-30,1755.0
2013-05-31,1767.0
2013-06-30,1761.0
2013-07-31,1766.0
2013-08-31,1781.0
2013-09-30,1760.0
2013-10-31,1744.0
2013-11-30,1756.0
2013-12-31,1771.0
2014-01-31,1769.0
2014-02-28,1769.0
2014-03-31,1803.0
2014-04-30,1835.0
2014-05-31,1859.0
2014-06-30,1861.0
2014-07-31,1876.0
2014-08-31,1904.0
2014-09-30,1930.0
2014-10-31,1924.0
2014-11-30,1925.0
2014-12-31,1882.0
2015-01-31,1683.0
2015-02-28,1348.0
2015-03-31,1109.0
2015-04-30,976.0
2015-05-31,889.0
2015-06-30,861.0
2015-07-31,866.0
2015-08-31,883.0
2015-09-30,848.0
2015-10-31,791.0
2015-11-30,760.0
2015-12-31,711.0
2016-01-31,643.0
2016-02-29,532.0
2016-03-31,477.0
2016-04-30,437.0
2016-05-31,407.0
2016-06-30,417.0
