Date,Value
1987-08-31,626.0
1987-09-30,713.0
1987-10-31,727.0
1987-11-30,746.0
1987-12-31,746.0
1988-01-31,663.0
1988-02-29,575.0
1988-03-31,582.0
1988-04-30,567.0
1988-05-31,562.0
1988-06-30,554.0
1988-07-31,568.0
1988-08-31,565.0
1988-09-30,512.0
1988-10-31,518.0
1988-11-30,490.0
1988-12-31,507.0
1989-01-31,455.0
1989-02-28,392.0
1989-03-31,407.0
1989-04-30,427.0
1989-05-31,431.0
1989-06-30,423.0
1989-07-31,432.0
1989-08-31,437.0
1989-09-30,460.0
1989-10-31,493.0
1989-11-30,532.0
1989-12-31,541.0
1990-01-31,514.0
1990-02-28,492.0
1990-03-31,478.0
1990-04-30,484.0
1990-05-31,493.0
1990-06-30,498.0
1990-07-31,497.0
1990-08-31,506.0
1990-09-30,566.0
1990-10-31,588.0
1990-11-30,615.0
1990-12-31,643.0
1991-01-31,633.0
1991-02-28,564.0
1991-03-31,520.0
1991-04-30,469.0
1991-05-31,430.0
1991-06-30,483.0
1991-07-31,472.0
1991-08-31,451.0
1991-09-30,433.0
1991-10-31,433.0
1991-11-30,457.0
1991-12-31,469.0
1992-01-31,400.0
1992-02-29,378.0
1992-03-31,381.0
1992-04-30,370.0
1992-05-31,358.0
1992-06-30,343.0
1992-07-31,349.0
1992-08-31,334.0
1992-09-30,345.0
1992-10-31,392.0
1992-11-30,418.0
1992-12-31,397.0
1993-01-31,335.0
1993-02-28,311.0
1993-03-31,315.0
1993-04-30,320.0
1993-05-31,323.0
1993-06-30,350.0
1993-07-31,368.0
1993-08-31,397.0
1993-09-30,418.0
1993-10-31,441.0
1993-11-30,453.0
1993-12-31,425.0
1994-01-31,356.0
1994-02-28,337.0
1994-03-31,323.0
1994-04-30,314.0
1994-05-31,320.0
1994-06-30,331.0
1994-07-31,341.0
1994-08-31,320.0
1994-09-30,325.0
1994-10-31,342.0
1994-11-30,361.0
1994-12-31,354.0
1995-01-31,325.0
1995-02-28,326.0
1995-03-31,322.0
1995-04-30,328.0
1995-05-31,325.0
1995-06-30,301.0
1995-07-31,301.0
1995-08-31,327.0
1995-09-30,333.0
1995-10-31,332.0
1995-11-30,330.0
1995-12-31,325.0
1996-01-31,295.0
1996-02-29,283.0
1996-03-31,286.0
1996-04-30,286.0
1996-05-31,288.0
1996-06-30,298.0
1996-07-31,290.0
1996-08-31,297.0
1996-09-30,301.0
1996-10-31,328.0
1996-11-30,363.0
1996-12-31,361.0
1997-01-31,342.0
1997-02-28,356.0
1997-03-31,377.0
1997-04-30,373.0
1997-05-31,379.0
1997-06-30,396.0
1997-07-31,382.0
1997-08-31,409.0
1997-09-30,392.0
1997-10-31,390.0
1997-11-30,354.0
1997-12-31,361.0
1998-01-31,380.0
1998-02-28,380.0
1998-03-31,327.0
1998-04-30,291.0
1998-05-31,272.0
1998-06-30,267.0
1998-07-31,264.0
1998-08-31,226.0
1998-09-30,215.0
1998-10-31,214.0
1998-11-30,190.0
1998-12-31,155.0
1999-01-31,125.0
1999-02-28,117.0
1999-03-31,114.0
1999-04-30,125.0
1999-05-31,136.0
1999-06-30,124.0
1999-07-31,108.0
1999-08-31,111.0
1999-09-30,130.0
1999-10-31,137.0
1999-11-30,145.0
1999-12-31,161.0
2000-01-31,143.0
2000-02-29,147.0
2000-03-31,173.0
2000-04-30,196.0
2000-05-31,199.0
2000-06-30,201.0
2000-07-31,208.0
2000-08-31,206.0
2000-09-30,199.0
2000-10-31,212.0
2000-11-30,234.0
2000-12-31,242.0
2001-01-31,239.0
2001-02-28,237.0
2001-03-31,248.0
2001-04-30,247.0
2001-05-31,235.0
2001-06-30,219.0
2001-07-31,219.0
2001-08-31,219.0
2001-09-30,220.0
2001-10-31,198.0
2001-11-30,174.0
2001-12-31,147.0
2002-01-31,141.0
2002-02-28,144.0
2002-03-31,144.0
2002-04-30,136.0
2002-05-31,134.0
2002-06-30,138.0
2002-07-31,133.0
2002-08-31,125.0
2002-09-30,122.0
2002-10-31,140.0
2002-11-30,146.0
2002-12-31,137.0
2003-01-31,132.0
2003-02-28,153.0
2003-03-31,171.0
2003-04-30,185.0
2003-05-31,167.0
2003-06-30,152.0
2003-07-31,153.0
2003-08-31,153.0
2003-09-30,154.0
2003-10-31,158.0
2003-11-30,158.0
2003-12-31,153.0
2004-01-31,143.0
2004-02-29,153.0
2004-03-31,164.0
2004-04-30,154.0
2004-05-31,156.0
