Date,Value
1949-12-31,1406.0
1950-12-31,1583.0
1951-12-31,1763.0
1952-12-31,1776.0
1953-12-31,1981.0
1954-12-31,1985.0
1955-12-31,2236.0
1956-12-31,2267.0
1957-12-31,1945.0
1958-12-31,1745.0
1959-12-31,1702.0
1960-12-31,1321.0
1961-12-31,1157.0
1962-12-31,1211.0
1963-12-31,1314.0
1964-12-31,1219.0
1965-12-31,946.0
1966-12-31,1196.0
1967-12-31,986.0
1968-12-31,954.0
1969-12-31,1084.0
1970-12-31,757.0
1971-12-31,659.0
1972-12-31,685.0
1973-12-31,642.0
1974-12-31,859.0
1975-12-31,982.0
1976-12-31,1086.0
1977-12-31,1164.0
1978-12-31,1171.0
1979-12-31,1321.0
1980-12-31,1777.0
1981-12-31,2651.0
1982-12-31,2437.0
1983-12-31,2030.0
1984-12-31,2209.0
1985-12-31,1680.0
1986-12-31,1084.0
1987-12-31,926.0
1988-12-31,855.0
1989-12-31,607.0
1990-12-31,664.0
1991-12-31,601.0
1992-12-31,498.0
1993-12-31,509.0
1994-12-31,579.0
1995-12-31,549.0
1996-12-31,496.0
1997-12-31,434.0
1998-12-31,286.0
1999-12-31,156.0
2000-12-31,288.0
2001-12-31,357.0
2002-12-31,258.0
2003-12-31,350.0
2004-12-31,383.0
2005-12-31,539.0
2006-12-31,646.0
2007-12-31,808.0
2008-12-31,897.0
2009-12-31,605.0
2010-12-31,669.0
