Date,Value
1993-01-31,716457.0
1993-02-28,694156.0
1993-03-31,675482.0
1993-04-30,686152.0
1993-05-31,714526.0
1993-06-30,731702.0
1993-07-31,747122.0
1993-08-31,756403.0
1993-09-30,758996.0
1993-10-31,771501.0
1993-11-30,761896.0
1993-12-31,724754.0
1994-01-31,696665.0
1994-02-28,663332.0
1994-03-31,651583.0
1994-04-30,660095.0
1994-05-31,689679.0
1994-06-30,704581.0
1994-07-31,730136.0
1994-08-31,739154.0
1994-09-30,756511.0
1994-10-31,737685.0
1994-11-30,749074.0
1994-12-31,723870.0
1995-01-31,721257.0
1995-02-28,686952.0
1995-03-31,669853.0
1995-04-30,673262.0
1995-05-31,687657.0
1995-06-30,689374.0
1995-07-31,717167.0
1995-08-31,714898.0
1995-09-30,722178.0
1995-10-31,703923.0
1995-11-30,693373.0
1995-12-31,667884.0
1996-01-31,649542.0
1996-02-29,607388.0
1996-03-31,592990.0
1996-04-30,611968.0
1996-05-31,629812.0
1996-06-30,647608.0
1996-07-31,658696.0
1996-08-31,654651.0
1996-09-30,675688.0
1996-10-31,656150.0
1996-11-30,652635.0
1996-12-31,657747.0
1997-01-31,636694.0
1997-02-28,621094.0
1997-03-31,634864.0
1997-04-30,634978.0
1997-05-31,671306.0
1997-06-30,691034.0
1997-07-31,685859.0
1997-08-31,705788.0
1997-09-30,725054.0
1997-10-31,718413.0
1997-11-30,712567.0
1997-12-31,691640.0
1998-01-31,689586.0
1998-02-28,687374.0
1998-03-31,689037.0
1998-04-30,699499.0
1998-05-31,737680.0
1998-06-30,754997.0
1998-07-31,760005.0
1998-08-31,776440.0
1998-09-30,779291.0
1998-10-31,755246.0
1998-11-30,767991.0
1998-12-31,752027.0
1999-01-31,737942.0
1999-02-28,729784.0
1999-03-31,703170.0
1999-04-30,716159.0
1999-05-31,743960.0
1999-06-30,735784.0
1999-07-31,736084.0
1999-08-31,731597.0
1999-09-30,735855.0
1999-10-31,708719.0
1999-11-30,703065.0
1999-12-31,641208.0
2000-01-31,625073.0
2000-02-29,610993.0
2000-03-31,609802.0
2000-04-30,632186.0
2000-05-31,653616.0
2000-06-30,666438.0
2000-07-31,687093.0
2000-08-31,673142.0
2000-09-30,678671.0
2000-10-31,664279.0
2000-11-30,671467.0
2000-12-31,641362.0
2001-01-31,642526.0
2001-02-28,648758.0
2001-03-31,633222.0
2001-04-30,648599.0
2001-05-31,683631.0
2001-06-30,711501.0
2001-07-31,711713.0
2001-08-31,696580.0
2001-09-30,724893.0
2001-10-31,718547.0
2001-11-30,728242.0
2001-12-31,724128.0
2002-01-31,715746.0
2002-02-28,689117.0
2002-03-31,677832.0
2002-04-30,697048.0
2002-05-31,712658.0
2002-06-30,722132.0
2002-07-31,728026.0
2002-08-31,717868.0
2002-09-30,716190.0
2002-10-31,691941.0
2002-11-30,694500.0
2002-12-31,671205.0
2003-01-31,631111.0
2003-02-28,590119.0
2003-03-31,593644.0
2003-04-30,605122.0
2003-05-31,644261.0
2003-06-30,666621.0
2003-07-31,673105.0
2003-08-31,674177.0
2003-09-30,686949.0
2003-10-31,676163.0
2003-11-30,683381.0
2003-12-31,661040.0
2004-01-31,643592.0
2004-02-29,625952.0
2004-03-31,621301.0
2004-04-30,618855.0
2004-05-31,644218.0
2004-06-30,663659.0
2004-07-31,686012.0
2004-08-31,706571.0
2004-09-30,698280.0
2004-10-31,680199.0
2004-11-30,695218.0
2004-12-31,683464.0
2005-01-31,681082.0
2005-02-28,678379.0
2005-03-31,652770.0
2005-04-30,672213.0
2005-05-31,699626.0
2005-06-30,715210.0
2005-07-31,725968.0
2005-08-31,705644.0
2005-09-30,704289.0
2005-10-31,709014.0
2005-11-30,721387.0
2005-12-31,689356.0
2006-01-31,705852.0
2006-02-28,691843.0
2006-03-31,662360.0
2006-04-30,664946.0
2006-05-31,694283.0
2006-06-30,704143.0
2006-07-31,723508.0
2006-08-31,742099.0
2006-09-30,764434.0
2006-10-31,741119.0
2006-11-30,721986.0
2006-12-31,718625.0
2007-01-31,710871.0
2007-02-28,660042.0
2007-03-31,658118.0
2007-04-30,662430.0
2007-05-31,680160.0
2007-06-30,685256.0
2007-07-31,706472.0
2007-08-31,704681.0
2007-09-30,712620.0
2007-10-31,706287.0
2007-11-30,694745.0
2007-12-31,682299.0
2008-01-31,681994.0
2008-02-29,662510.0
2008-03-31,639708.0
2008-04-30,645206.0
2008-05-31,666200.0
2008-06-30,684282.0
2008-07-31,695642.0
2008-08-31,700870.0
2008-09-30,697973.0
2008-10-31,696562.0
2008-11-30,708635.0
2008-12-31,709076.0
2009-01-31,710538.0
2009-02-28,713588.0
2009-03-31,722968.0
2009-04-30,726346.0
2009-05-31,749990.0
2009-06-30,773252.0
2009-07-31,780464.0
2009-08-31,774043.0
2009-09-30,788248.0
2009-10-31,767589.0
2009-11-30,750924.0
2009-12-31,724580.0
2010-01-31,722520.0
2010-02-28,714847.0
2010-03-31,701202.0
2010-04-30,720034.0
2010-05-31,741860.0
2010-06-30,749508.0
2010-07-31,771053.0
2010-08-31,775975.0
2010-09-30,771828.0
2010-10-31,753047.0
2010-11-30,748170.0
2010-12-31,734124.0
2011-01-31,737821.0
2011-02-28,705476.0
2011-03-31,689415.0
2011-04-30,686248.0
2011-05-31,711836.0
2011-06-30,726208.0
2011-07-31,751098.0
2011-08-31,752470.0
2011-09-30,754795.0
2011-10-31,736516.0
2011-11-30,737302.0
2011-12-31,723457.0
2012-01-31,733172.0
2012-02-29,722974.0
2012-03-31,714338.0
2012-04-30,705675.0
2012-05-31,711935.0
2012-06-30,726238.0
2012-07-31,744370.0
2012-08-31,742178.0
2012-09-30,754581.0
2012-10-31,738812.0
2012-11-30,736049.0
2012-12-31,747013.0
2013-01-31,737609.0
2013-02-28,708979.0
2013-03-31,703912.0
2013-04-30,715349.0
2013-05-31,728755.0
2013-06-30,745509.0
2013-07-31,753908.0
2013-08-31,761097.0
2013-09-30,764386.0
2013-10-31,732372.0
2013-11-30,719772.0
2013-12-31,708341.0
2014-01-31,685737.0
2014-02-28,678212.0
2014-03-31,676405.0
2014-04-30,696162.0
2014-05-31,727785.0
2014-06-30,742127.0
2014-07-31,760936.0
2014-08-31,773609.0
2014-09-30,785430.0
2014-10-31,760012.0
2014-11-30,764428.0
2014-12-31,775214.0
2015-01-31,770190.0
2015-02-28,744171.0
2015-03-31,749147.0
2015-04-30,765309.0
2015-05-31,789481.0
2015-06-30,808577.0
2015-07-31,819369.0
2015-08-31,840637.0
2015-09-30,847132.0
2015-10-31,828298.0
2015-11-30,841003.0
2015-12-31,840232.0
2016-01-31,845371.0
2016-02-29,829764.0
2016-03-31,824836.0
2016-04-30,830647.0
2016-05-31,843619.0
2016-06-30,853798.0
2016-07-31,877357.0
2016-08-31,884094.0
2016-09-30,883475.0
2016-10-31,866345.0
