Date,Value
1920-01-31,1097.0
1920-02-29,1145.0
1920-03-31,1167.0
1920-04-30,1165.0
1920-05-31,1181.0
1920-06-30,1222.0
1920-07-31,1218.0
1920-08-31,1255.0
1920-09-30,1251.0
1920-10-31,1277.0
1920-11-30,1287.0
1920-12-31,1257.0
1921-01-31,1230.0
1921-02-28,1269.0
1921-03-31,1326.0
1921-04-30,1341.0
1921-05-31,1361.0
1921-06-30,1352.0
1921-07-31,1305.0
1921-08-31,1326.0
1921-09-30,1225.0
1921-10-31,1156.0
1921-11-30,1270.0
1921-12-31,1360.0
1922-01-31,1410.0
1922-02-28,1476.0
1922-03-31,1522.0
1922-04-30,1506.0
1922-05-31,1516.0
1922-06-30,1536.0
1922-07-31,1520.0
1922-08-31,1518.0
1922-09-30,1527.0
1922-10-31,1562.0
1922-11-30,1601.0
1922-12-31,1634.0
1923-01-31,1694.0
1923-02-28,1735.0
1923-03-31,1838.0
1923-04-30,1967.0
1923-05-31,2012.0
1923-06-30,2095.0
1923-07-31,2127.0
1923-08-31,2143.0
1923-09-30,2177.0
1923-10-31,2178.0
1923-11-30,2180.0
1923-12-31,1921.0
1924-01-31,1848.0
1924-02-29,1927.0
1924-03-31,1940.0
1924-04-30,1994.0
1924-05-31,1995.0
1924-06-30,1986.0
1924-07-31,1998.0
1924-08-31,2013.0
1924-09-30,2013.0
1924-10-31,1951.0
1924-11-30,1893.0
1924-12-31,1853.0
1925-01-31,1736.0
1925-02-28,1735.0
1925-03-31,1729.0
1925-04-30,1730.0
1925-05-31,1722.0
1925-06-30,1731.0
1925-07-31,1682.0
1925-08-31,1684.0
1925-09-30,1719.0
1925-10-31,1670.0
1925-11-30,1664.0
1925-12-31,1601.0
1926-01-31,1935.0
1926-02-28,1960.0
1926-03-31,1964.0
1926-04-30,2012.0
1926-05-31,2027.0
1926-06-30,2060.0
1926-07-31,2102.0
1926-08-31,2162.0
1926-09-30,2193.0
1926-10-31,2247.0
1926-11-30,2330.0
1926-12-31,2343.0
1927-01-31,2315.0
1927-02-28,2433.0
1927-03-31,2436.0
1927-04-30,2438.0
1927-05-31,2479.0
1927-06-30,2510.0
1927-07-31,2541.0
1927-08-31,2542.0
1927-09-30,2530.0
1927-10-31,2501.0
1927-11-30,2483.0
1927-12-31,2418.0
1928-01-31,2348.0
1928-02-29,2364.0
1928-03-31,2404.0
1928-04-30,2413.0
1928-05-31,2428.0
1928-06-30,2423.0
1928-07-31,2438.0
1928-08-31,2510.0
1928-09-30,2549.0
1928-10-31,2573.0
1928-11-30,2537.0
1928-12-31,2564.0
1929-01-31,2647.0
1929-02-28,2695.0
1929-03-31,2660.0
1929-04-30,2680.0
1929-05-31,2726.0
1929-06-30,2780.0
1929-07-31,2945.0
1929-08-31,2973.0
1929-09-30,2915.0
1929-10-31,2853.0
1929-11-30,2625.0
1929-12-31,2610.0
1930-01-31,2569.0
1930-02-28,2653.0
1930-03-31,2523.0
1930-04-30,2583.0
1930-05-31,2598.0
1930-06-30,2569.0
1930-07-31,2481.0
1930-08-31,2414.0
1930-09-30,2374.0
1930-10-31,2351.0
1930-11-30,2265.0
1930-12-31,2160.0
1931-01-31,2121.0
1931-02-28,2162.0
1931-03-31,2240.0
1931-04-30,2429.0
1931-05-31,2478.0
1931-06-30,2500.0
1931-07-31,2523.0
1931-08-31,2194.0
1931-09-30,2146.0
1931-10-31,2364.0
1931-11-30,2449.0
1931-12-31,2365.0
1932-01-31,2162.0
1932-02-29,2156.0
1932-03-31,2176.0
1932-04-30,2264.0
1932-05-31,2221.0
1932-06-30,2171.0
1932-07-31,2150.0
1932-08-31,2147.0
1932-09-30,2184.0
1932-10-31,2116.0
1932-11-30,2121.0
1932-12-31,1880.0
1933-01-31,2102.0
1933-02-28,2188.0
1933-03-31,2425.0
1933-04-30,2190.0
1933-05-31,2795.0
1933-06-30,2813.0
1933-07-31,2752.0
1933-08-31,2758.0
1933-09-30,2611.0
1933-10-31,2454.0
1933-11-30,2332.0
1933-12-31,2328.0
1934-01-31,2323.0
1934-02-28,2335.0
1934-03-31,2433.0
1934-04-30,2522.0
1934-05-31,2580.0
1934-06-30,2655.0
1934-07-31,2624.0
1934-08-31,2552.0
1934-09-30,2525.0
1934-10-31,2471.0
1934-11-30,2413.0
1934-12-31,2413.0
1935-01-31,2539.0
1935-02-28,2599.0
1935-03-31,2629.0
1935-04-30,2614.0
1935-05-31,2660.0
1935-06-30,2745.0
1935-07-31,2758.0
1935-08-31,2736.0
1935-09-30,2804.0
1935-10-31,2844.0
1935-11-30,2883.0
1935-12-31,2862.0
1936-01-31,2865.0
1936-02-29,2832.0
1936-03-31,2922.0
1936-04-30,3016.0
1936-05-31,3024.0
1936-06-30,3006.0
1936-07-31,2970.0
1936-08-31,3067.0
1936-09-30,3032.0
1936-10-31,3090.0
1936-11-30,3034.0
1936-12-31,3150.0
1937-01-31,3180.0
1937-02-28,3328.0
1937-03-31,3443.0
1937-04-30,3499.0
1937-05-31,3578.0
1937-06-30,3527.0
1937-07-31,3572.0
1937-08-31,3713.0
1937-09-30,3666.0
1937-10-31,3578.0
1937-11-30,3474.0
1937-12-31,3438.0
1938-01-31,3420.0
1938-02-28,3381.0
1938-03-31,3436.0
1938-04-30,3423.0
1938-05-31,3183.0
1938-06-30,3143.0
1938-07-31,3319.0
1938-08-31,3425.0
1938-09-30,3289.0
1938-10-31,3285.0
1938-11-30,3286.0
1938-12-31,3300.0
1939-01-31,3306.0
1939-02-28,3338.0
1939-03-31,3444.0
1939-04-30,3517.0
1939-05-31,3566.0
1939-06-30,3487.0
1939-07-31,3579.0
1939-08-31,2609.0
1939-09-30,3606.0
1939-10-31,3684.0
1939-11-30,3730.0
1939-12-31,3704.0
1940-01-31,3782.0
1940-02-29,3738.0
1940-03-31,3921.0
1940-04-30,3967.0
1940-05-31,3995.0
1940-06-30,3977.0
1940-07-31,4113.0
1940-08-31,4214.0
1940-09-30,4347.0
1940-10-31,4403.0
1940-11-30,4455.0
1940-12-31,4360.0
1941-01-31,3569.0
1941-02-28,3600.0
1941-03-31,3639.0
1941-04-30,3703.0
1941-05-31,3773.0
1941-06-30,3834.0
1941-07-31,3815.0
1941-08-31,3915.0
1941-09-30,3982.0
1941-10-31,4069.0
1941-11-30,4112.0
1941-12-31,4138.0
1942-01-31,4137.0
1942-02-28,4070.0
1942-03-31,3693.0
1942-04-30,3502.0
1942-05-31,3555.0
1942-06-30,3620.0
1942-07-31,3606.0
1942-08-31,3885.0
1942-09-30,3860.0
1942-10-31,3881.0
1942-11-30,3870.0
1942-12-31,3888.0
1943-01-31,3786.0
1943-02-28,3875.0
1943-03-31,3924.0
1943-04-30,3970.0
1943-05-31,3999.0
1943-06-30,4004.0
1943-07-31,4117.0
1943-08-31,4219.0
1943-09-30,4352.0
1943-10-31,4414.0
1943-11-30,4461.0
1943-12-31,4364.0
1944-01-31,4377.0
1944-02-29,4443.0
1944-03-31,4413.0
1944-04-30,4453.0
