Date,Value
1983-12-31,77946.0
1984-12-31,72942.0
1985-12-31,18327.0
1986-12-31,28581.0
1987-12-31,46854.0
1988-12-31,231.0
1989-12-31,31274.0
1990-12-31,-12761.0
1991-12-31,-15285.0
1992-12-31,-238.0
1993-12-31,29601.0
1994-12-31,6450.0
1995-12-31,-33947.0
1996-12-31,-45299.0
1997-12-31,18450.0
1998-12-31,26829.0
1999-12-31,-43225.0
2000-12-31,-25538.0
2001-12-31,36036.0
2002-12-31,14484.0
2003-12-31,30558.0
2004-12-31,54078.0
2005-12-31,47249.0
2006-12-31,-7771.0
2007-12-31,-19090.0
2008-12-31,44734.0
2009-12-31,23688.0
2010-12-31,4871.0
2011-12-31,-34455.0
2012-12-31,28892.0
2013-12-31,-9904.0
2014-12-31,28664.0
2015-12-31,92515.0
