Date,Value
1981-01-31,1322.0
1981-02-28,1527.0
1981-03-31,1778.0
1981-04-30,1761.0
1981-05-31,1833.0
1981-06-30,1761.0
1981-07-31,1814.0
1981-08-31,1817.0
1981-09-30,1828.0
1981-10-31,1928.0
1981-11-30,1925.0
1981-12-31,1952.0
1982-01-31,1947.0
1982-02-28,1786.0
1982-03-31,1949.0
1982-04-30,1953.0
1982-05-31,1936.0
1982-06-30,1813.0
1982-07-31,1863.0
1982-08-31,1768.0
1982-09-30,1687.0
1982-10-31,1583.0
1982-11-30,1513.0
1982-12-31,1621.0
1983-01-31,2192.0
1983-02-28,1974.0
1983-03-31,2156.0
1983-04-30,2037.0
1983-05-31,1956.0
1983-06-30,1924.0
1983-07-31,2015.0
1983-08-31,1995.0
1983-09-30,1991.0
1983-10-31,1967.0
1983-11-30,1929.0
1983-12-31,2063.0
1984-01-31,1989.0
1984-02-29,1884.0
1984-03-31,1918.0
1984-04-30,1926.0
1984-05-31,1909.0
1984-06-30,1842.0
1984-07-31,1863.0
1984-08-31,1960.0
1984-09-30,1993.0
1984-10-31,2133.0
1984-11-30,1866.0
1984-12-31,1992.0
1985-01-31,1960.0
1985-02-28,1751.0
1985-03-31,2125.0
1985-04-30,1997.0
1985-05-31,2003.0
1985-06-30,1684.0
1985-07-31,1717.0
1985-08-31,1719.0
1985-09-30,1641.0
1985-10-31,1719.0
1985-11-30,1784.0
1985-12-31,1964.0
1986-01-31,1761.0
1986-02-28,1573.0
1986-03-31,1612.0
1986-04-30,1538.0
1986-05-31,1525.0
1986-06-30,1550.0
1986-07-31,1595.0
1986-08-31,1491.0
1986-09-30,1350.0
1986-10-31,1277.0
1986-11-30,1220.0
1986-12-31,1314.0
1987-01-31,1258.0
1987-02-28,1145.0
1987-03-31,1202.0
1987-04-30,1229.0
1987-05-31,1310.0
1987-06-30,1087.0
1987-07-31,981.0
1987-08-31,954.0
1987-09-30,832.0
1987-10-31,777.0
1987-11-30,758.0
1987-12-31,964.0
1988-01-31,1383.0
1988-02-29,1504.0
1988-03-31,1609.0
1988-04-30,1259.0
1988-05-31,1042.0
1988-06-30,967.0
1988-07-31,890.0
1988-08-31,917.0
1988-09-30,1121.0
1988-10-31,1308.0
1988-11-30,1319.0
1988-12-31,1378.0
1989-01-31,1463.0
1989-02-28,1344.0
1989-03-31,1380.0
1989-04-30,689.0
1989-05-31,577.0
1989-06-30,614.0
1989-07-31,575.0
1989-08-31,524.0
1989-09-30,548.0
1989-10-31,641.0
1989-11-30,744.0
1989-12-31,1021.0
1990-01-31,1241.0
1990-02-28,1000.0
1990-03-31,755.0
1990-04-30,714.0
1990-05-31,937.0
1990-06-30,868.0
1990-07-31,966.0
1990-08-31,557.0
1990-09-30,412.0
1990-10-31,459.0
1990-11-30,404.0
1990-12-31,460.0
1991-01-31,707.0
1991-02-28,470.0
1991-03-31,573.0
1991-04-30,623.0
1991-05-31,460.0
1991-06-30,471.0
1991-07-31,468.0
1991-08-31,402.0
1991-09-30,481.0
1991-10-31,683.0
1991-11-30,671.0
1991-12-31,706.0
1992-01-31,795.0
1992-02-29,499.0
1992-03-31,551.0
1992-04-30,318.0
1992-05-31,308.0
1992-06-30,363.0
1992-07-31,285.0
1992-08-31,263.0
1992-09-30,341.0
1992-10-31,318.0
1992-11-30,312.0
1992-12-31,365.0
1993-01-31,298.0
1993-02-28,290.0
1993-03-31,354.0
1993-04-30,269.0
1993-05-31,325.0
1993-06-30,234.0
1993-07-31,278.0
1993-08-31,237.0
1993-09-30,241.0
1993-10-31,308.0
1993-11-30,314.0
1993-12-31,499.0
1994-01-31,307.0
1994-02-28,336.0
1994-03-31,311.0
1994-04-30,274.0
1994-05-31,289.0
1994-06-30,217.0
1994-07-31,252.0
1994-08-31,204.0
1994-09-30,261.0
1994-10-31,234.0
1994-11-30,224.0
1994-12-31,312.0
1995-01-31,230.0
1995-02-28,229.0
1995-03-31,223.0
1995-04-30,208.0
1995-05-31,207.0
1995-06-30,153.0
1995-07-31,223.0
1995-08-31,183.0
1995-09-30,183.0
1995-10-31,252.0
1995-11-30,220.0
1995-12-31,195.0
1996-01-31,336.0
1996-02-29,244.0
1996-03-31,204.0
1996-04-30,186.0
1996-05-31,214.0
1996-06-30,183.0
1996-07-31,159.0
1996-08-31,173.0
1996-09-30,183.0
1996-10-31,153.0
1996-11-30,150.0
1996-12-31,182.0
1997-01-31,140.0
1997-02-28,154.0
1997-03-31,146.0
1997-04-30,90.0
1997-05-31,131.0
1997-06-30,65.0
1997-07-31,69.0
1997-08-31,1.0
1997-09-30,1.0
1997-10-31,0.0
1997-11-30,0.0
1997-12-31,0.0
1998-01-31,0.0
1998-02-28,0.0
1998-03-31,0.0
1998-04-30,0.0
1998-05-31,0.0
1998-06-30,0.0
1998-07-31,0.0
1998-08-31,0.0
1998-09-30,0.0
1998-10-31,0.0
1998-11-30,0.0
1998-12-31,0.0
1999-01-31,0.0
1999-02-28,0.0
1999-03-31,0.0
1999-04-30,0.0
1999-05-31,0.0
1999-06-30,0.0
1999-07-31,0.0
1999-08-31,0.0
1999-09-30,0.0
1999-10-31,0.0
1999-11-30,0.0
1999-12-31,0.0
2000-01-31,0.0
2000-02-29,0.0
2000-03-31,0.0
2000-04-30,0.0
2000-05-31,0.0
2000-06-30,0.0
2000-07-31,0.0
2000-08-31,0.0
2000-09-30,0.0
2000-10-31,0.0
2000-11-30,0.0
2000-12-31,0.0
2001-01-31,0.0
2001-02-28,0.0
2001-03-31,0.0
2001-04-30,0.0
2001-05-31,0.0
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.0
2001-11-30,0.0
2001-12-31,0.0
2002-01-31,0.0
2002-02-28,0.0
2002-03-31,0.0
2002-04-30,0.0
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.0
2002-12-31,0.0
2003-01-31,0.0
2003-02-28,0.0
2003-03-31,0.0
2003-04-30,0.0
2003-05-31,0.0
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.0
2003-12-31,0.0
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.0
2008-01-31,0.0
2008-02-29,0.0
2008-03-31,0.0
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.0
2009-01-31,0.0
2009-02-28,0.0
2009-03-31,0.0
2009-04-30,0.0
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.0
2010-01-31,0.0
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.0
2011-03-31,0.0
2011-04-30,0.0
2011-05-31,0.0
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-31,0.0
2012-01-31,0.0
2012-02-29,0.0
2012-03-31,0.0
2012-04-30,0.0
2012-05-31,0.0
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.0
2012-12-31,0.0
2013-01-31,0.0
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,0.0
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,0.0
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,0.0
2015-01-31,0.0
2015-02-28,0.0
2015-03-31,0.0
2015-04-30,0.0
2015-05-31,0.0
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,0.0
2015-11-30,0.0
2015-12-31,0.0
2016-01-31,0.0
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.0
2016-05-31,0.0
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
