Date,Value
1977-10-31,2646.0
1977-11-30,5084.0
1977-12-31,7455.0
1978-01-31,11106.0
1978-02-28,14276.0
1978-03-31,18437.0
1978-04-30,21825.0
1978-05-31,25629.0
1978-06-30,30140.0
1978-07-31,35248.0
1978-08-31,40968.0
1978-09-30,47090.0
1978-10-31,53113.0
1978-11-30,59312.0
1978-12-31,66860.0
1979-01-31,73142.0
1979-02-28,78166.0
1979-03-31,82501.0
1979-04-30,83867.0
1979-05-31,86880.0
1979-06-30,88567.0
1979-07-31,90101.0
1979-08-31,91189.0
1979-09-30,91189.0
1979-10-31,91191.0
1979-11-30,91191.0
1979-12-31,91191.0
1980-01-31,91191.0
1980-02-29,91191.0
1980-03-31,91191.0
1980-04-30,91191.0
1980-05-31,91191.0
1980-06-30,91191.0
1980-07-31,91191.0
1980-08-31,91191.0
1980-09-30,92824.0
1980-10-31,96645.0
1980-11-30,102320.0
1980-12-31,107800.0
1981-01-31,112490.0
1981-02-28,116057.0
1981-03-31,120860.0
1981-04-30,134170.0
1981-05-31,150068.0
1981-06-30,163081.0
1981-07-31,173128.0
1981-08-31,184674.0
1981-09-30,199247.0
1981-10-31,214777.0
1981-11-30,222542.0
1981-12-31,230341.0
1982-01-31,235271.0
1982-02-28,241241.0
1982-03-31,248537.0
1982-04-30,255534.0
1982-05-31,260994.0
1982-06-30,264141.0
1982-07-31,267154.0
1982-08-31,273593.0
1982-09-30,277884.0
1982-10-31,284592.0
1982-11-30,289963.0
1982-12-31,293827.0
1983-01-31,300613.0
1983-02-28,306133.0
1983-03-31,311830.0
1983-04-30,317735.0
1983-05-31,326833.0
1983-06-30,332484.0
1983-07-31,340672.0
1983-08-31,351780.0
1983-09-30,361000.0
1983-10-31,367240.0
1983-11-30,371291.0
1983-12-31,379089.0
1984-01-31,384449.0
1984-02-29,387238.0
1984-03-31,391794.0
1984-04-30,396881.0
1984-05-31,404478.0
1984-06-30,413735.0
1984-07-31,423904.0
1984-08-31,429467.0
1984-09-30,431069.0
1984-10-31,436839.0
1984-11-30,443046.0
1984-12-31,450505.0
1985-01-31,457409.0
1985-02-28,460138.0
1985-03-31,461617.0
1985-04-30,464940.0
1985-05-31,471930.0
1985-06-30,476571.0
1985-07-31,483538.0
1985-08-31,487126.0
1985-09-30,489255.0
1985-10-31,489881.0
1985-11-30,491464.0
1985-12-31,493316.0
1986-01-31,494392.0
1986-02-28,495381.0
1986-03-31,496892.0
1986-04-30,498781.0
1986-05-31,499877.0
1986-06-30,501787.0
1986-07-31,503400.0
1986-08-31,504974.0
1986-09-30,506385.0
1986-10-31,507514.0
1986-11-30,509471.0
1986-12-31,511565.0
1987-01-31,514910.0
1987-02-28,516709.0
1987-03-31,519987.0
1987-04-30,521983.0
1987-05-31,525129.0
1987-06-30,527187.0
1987-07-31,530012.0
1987-08-31,531978.0
1987-09-30,533890.0
1987-10-31,535652.0
1987-11-30,538547.0
1987-12-31,540648.0
1988-01-31,542720.0
1988-02-29,544146.0
1988-03-31,544938.0
1988-04-30,547258.0
1988-05-31,547949.0
1988-06-30,550056.0
1988-07-31,551344.0
1988-08-31,552145.0
1988-09-30,554659.0
1988-10-31,556001.0
1988-11-30,558673.0
1988-12-31,559515.0
1989-01-31,561519.0
1989-02-28,563888.0
1989-03-31,566224.0
1989-04-30,568009.0
1989-05-31,570403.0
1989-06-30,571724.0
1989-07-31,574388.0
1989-08-31,575373.0
1989-09-30,577131.0
1989-10-31,578271.0
1989-11-30,579490.0
1989-12-31,579857.0
1990-01-31,580596.0
1990-02-28,580924.0
1990-03-31,582279.0
1990-04-30,583418.0
1990-05-31,586187.0
1990-06-30,586678.0
1990-07-31,586678.0
1990-08-31,589606.0
1990-09-30,589611.0
1990-10-31,589359.0
1990-11-30,586017.0
1990-12-31,585692.0
1991-01-31,585692.0
1991-02-28,581564.0
1991-03-31,568482.0
1991-04-30,568482.0
1991-05-31,568482.0
1991-06-30,568488.0
1991-07-31,568502.0
1991-08-31,568503.0
1991-09-30,568503.0
1991-10-31,568505.0
1991-11-30,568502.0
1991-12-31,568508.0
1992-01-31,568510.0
1992-02-29,568510.0
1992-03-31,568511.0
1992-04-30,568511.0
1992-05-31,568514.0
1992-06-30,569520.0
1992-07-31,569521.0
1992-08-31,570138.0
1992-09-30,571438.0
1992-10-31,573575.0
1992-11-30,574039.0
1992-12-31,574724.0
1993-01-31,575311.0
1993-02-28,575807.0
1993-03-31,577611.0
1993-04-30,581702.0
1993-05-31,582119.0
1993-06-30,582753.0
1993-07-31,583333.0
1993-08-31,584087.0
1993-09-30,585658.0
1993-10-31,586248.0
1993-11-30,586794.0
1993-12-31,587080.0
1994-01-31,587192.0
1994-02-28,587193.0
1994-03-31,590256.0
1994-04-30,591173.0
1994-05-31,591178.0
1994-06-30,591670.0
1994-07-31,591673.0
1994-08-31,591675.0
1994-09-30,591675.0
1994-10-31,591675.0
1994-11-30,591673.0
1994-12-31,591670.0
1995-01-31,591671.0
1995-02-28,591673.0
1995-03-31,591672.0
1995-04-30,591671.0
1995-05-31,591669.0
1995-06-30,591672.0
1995-07-31,591670.0
1995-08-31,591673.0
1995-09-30,591668.0
1995-10-31,591663.0
1995-11-30,591648.0
1995-12-31,591640.0
1996-01-31,591630.0
1996-02-29,591617.0
1996-03-31,589125.0
1996-04-30,586485.0
1996-05-31,585803.0
1996-06-30,584454.0
1996-07-31,582904.0
1996-08-31,577573.0
1996-09-30,573659.0
1996-10-31,573617.0
1996-11-30,569814.0
1996-12-31,565816.0
1997-01-31,563482.0
1997-02-28,563474.0
1997-03-31,563468.0
1997-04-30,563463.0
1997-05-31,563458.0
1997-06-30,563454.0
1997-07-31,563451.0
1997-08-31,563449.0
1997-09-30,563444.0
1997-10-31,563439.0
1997-11-30,563430.0
1997-12-31,563429.0
1998-01-31,563430.0
1998-02-28,563426.0
1998-03-31,563426.0
1998-04-30,563426.0
1998-05-31,563428.0
1998-06-30,563429.0
1998-07-31,563426.0
1998-08-31,563426.0
1998-09-30,563426.0
1998-10-31,564015.0
1998-11-30,568524.0
1998-12-31,571405.0
1999-01-31,571951.0
1999-02-28,571950.0
1999-03-31,571950.0
1999-04-30,572451.0
1999-05-31,573595.0
1999-06-30,574798.0
1999-07-31,575701.0
1999-08-31,574875.0
1999-09-30,575472.0
1999-10-31,572270.0
1999-11-30,569115.0
1999-12-31,567241.0
2000-01-31,568498.0
2000-02-29,569370.0
2000-03-31,569413.0
2000-04-30,569413.0
2000-05-31,569413.0
2000-06-30,568893.0
2000-07-31,570351.0
2000-08-31,571365.0
2000-09-30,570346.0
2000-10-31,564497.0
