Date,Value
1981-01-31,317168.0
1981-02-28,288224.0
1981-03-31,318429.0
1981-04-30,305841.0
1981-05-31,314963.0
1981-06-30,308619.0
1981-07-31,313042.0
1981-08-31,317530.0
1981-09-30,308430.0
1981-10-31,316982.0
1981-11-30,308077.0
1981-12-31,316812.0
1982-01-31,313966.0
1982-02-28,288734.0
1982-03-31,318804.0
1982-04-30,305648.0
1982-05-31,317577.0
1982-06-30,306359.0
1982-07-31,317095.0
1982-08-31,316666.0
1982-09-30,308371.0
1982-10-31,319273.0
1982-11-30,310774.0
1982-12-31,318555.0
1983-01-31,320272.0
1983-02-28,290859.0
1983-03-31,318643.0
1983-04-30,309656.0
1983-05-31,315893.0
1983-06-30,307829.0
1983-07-31,317076.0
1983-08-31,318794.0
1983-09-30,313408.0
1983-10-31,323445.0
1983-11-30,313823.0
1983-12-31,309484.0
1984-01-31,324786.0
1984-02-29,306379.0
1984-03-31,319891.0
1984-04-30,315930.0
1984-05-31,329319.0
1984-06-30,315220.0
1984-07-31,328200.0
1984-08-31,324830.0
1984-09-30,320770.0
1984-10-31,328853.0
1984-11-30,320670.0
1984-12-31,327911.0
1985-01-31,322787.0
1985-02-28,299375.0
1985-03-31,333187.0
1985-04-30,320197.0
1985-05-31,333876.0
1985-06-30,319905.0
1985-07-31,327056.0
1985-08-31,325030.0
1985-09-30,317534.0
1985-10-31,329758.0
1985-11-30,319206.0
1985-12-31,334097.0
1986-01-31,338247.0
1986-02-28,305635.0
1986-03-31,330574.0
1986-04-30,313063.0
1986-05-31,323650.0
1986-06-30,305620.0
1986-07-31,316977.0
1986-08-31,306135.0
1986-09-30,295554.0
1986-10-31,308562.0
1986-11-30,301822.0
1986-12-31,309536.0
1987-01-31,314303.0
1987-02-28,282032.0
1987-03-31,314067.0
1987-04-30,304182.0
1987-05-31,309294.0
1987-06-30,297193.0
1987-07-31,306743.0
1987-08-31,305118.0
1987-09-30,295534.0
1987-10-31,311133.0
1987-11-30,303346.0
1987-12-31,310044.0
1988-01-31,306151.0
1988-02-29,290521.0
1988-03-31,312197.0
1988-04-30,298381.0
1988-05-31,306882.0
1988-06-30,295004.0
1988-07-31,301103.0
1988-08-31,302608.0
1988-09-30,287252.0
1988-10-31,301853.0
1988-11-30,292525.0
1988-12-31,298877.0
1989-01-31,300019.0
1989-02-28,264351.0
1989-03-31,287815.0
1989-04-30,285024.0
1989-05-31,294425.0
1989-06-30,275641.0
1989-07-31,280698.0
1989-08-31,282284.0
1989-09-30,272876.0
1989-10-31,278480.0
1989-11-30,272512.0
1989-12-31,270763.0
1990-01-31,284530.0
1990-02-28,256104.0
1990-03-31,280040.0
1990-04-30,269356.0
1990-05-31,276618.0
1990-06-30,259363.0
1990-07-31,270794.0
1990-08-31,276854.0
1990-09-30,266723.0
1990-10-31,288330.0
1990-11-30,274641.0
1990-12-31,279588.0
1991-01-31,286912.0
1991-02-28,263877.0
1991-03-31,288338.0
1991-04-30,277859.0
1991-05-31,283868.0
1991-06-30,270961.0
1991-07-31,280730.0
1991-08-31,279848.0
1991-09-30,272629.0
1991-10-31,285572.0
1991-11-30,273881.0
1991-12-31,281753.0
1992-01-31,284441.0
1992-02-29,266064.0
1992-03-31,282798.0
