Date,Value
1993-01-31,743.0
1993-02-28,701.0
1993-03-31,726.0
1993-04-30,715.0
1993-05-31,806.0
1993-06-30,867.0
1993-07-31,834.0
1993-08-31,770.0
1993-09-30,822.0
1993-10-31,935.0
1993-11-30,1018.0
1993-12-31,766.0
1994-01-31,882.0
1994-02-28,848.0
1994-03-31,955.0
1994-04-30,888.0
1994-05-31,852.0
1994-06-30,917.0
1994-07-31,809.0
1994-08-31,747.0
1994-09-30,925.0
1994-10-31,820.0
1994-11-30,907.0
1994-12-31,773.0
1995-01-31,761.0
1995-02-28,771.0
1995-03-31,877.0
1995-04-30,857.0
1995-05-31,1016.0
1995-06-30,1059.0
1995-07-31,1070.0
1995-08-31,1082.0
1995-09-30,1189.0
1995-10-31,780.0
1995-11-30,989.0
1995-12-31,857.0
1996-01-31,1143.0
1996-02-29,958.0
1996-03-31,1049.0
1996-04-30,1187.0
1996-05-31,1151.0
1996-06-30,1199.0
1996-07-31,1060.0
1996-08-31,1017.0
1996-09-30,1212.0
1996-10-31,1062.0
1996-11-30,998.0
1996-12-31,1170.0
1997-01-31,1204.0
1997-02-28,1097.0
1997-03-31,1128.0
1997-04-30,1292.0
1997-05-31,1295.0
1997-06-30,1220.0
1997-07-31,1161.0
1997-08-31,1235.0
1997-09-30,1189.0
1997-10-31,1287.0
1997-11-30,1162.0
1997-12-31,861.0
1998-01-31,1213.0
1998-02-28,1021.0
1998-03-31,1083.0
1998-04-30,1330.0
1998-05-31,1131.0
1998-06-30,1108.0
1998-07-31,1156.0
1998-08-31,879.0
1998-09-30,1167.0
1998-10-31,983.0
1998-11-30,1209.0
1998-12-31,1114.0
1999-01-31,1138.0
1999-02-28,1070.0
1999-03-31,1330.0
1999-04-30,1119.0
1999-05-31,1020.0
1999-06-30,1066.0
1999-07-31,1105.0
1999-08-31,1127.0
1999-09-30,956.0
1999-10-31,895.0
1999-11-30,985.0
1999-12-31,941.0
2000-01-31,1026.0
2000-02-29,922.0
2000-03-31,1088.0
2000-04-30,1049.0
2000-05-31,1073.0
2000-06-30,1190.0
2000-07-31,1079.0
2000-08-31,996.0
2000-09-30,1102.0
2000-10-31,734.0
2000-11-30,945.0
2000-12-31,981.0
2001-01-31,1141.0
2001-02-28,729.0
2001-03-31,1146.0
2001-04-30,1322.0
2001-05-31,1096.0
2001-06-30,972.0
2001-07-31,1088.0
2001-08-31,1225.0
2001-09-30,1261.0
2001-10-31,1161.0
2001-11-30,1528.0
2001-12-31,1295.0
2002-01-31,1224.0
2002-02-28,1362.0
2002-03-31,1246.0
2002-04-30,1254.0
2002-05-31,1348.0
2002-06-30,1301.0
2002-07-31,1390.0
2002-08-31,1242.0
2002-09-30,1156.0
2002-10-31,1301.0
2002-11-30,1272.0
2002-12-31,1414.0
2003-01-31,1283.0
2003-02-28,1402.0
2003-03-31,1131.0
2003-04-30,1455.0
2003-05-31,1275.0
2003-06-30,1317.0
2003-07-31,1508.0
2003-08-31,1438.0
2003-09-30,1435.0
2003-10-31,1475.0
2003-11-30,1468.0
2003-12-31,1554.0
2004-01-31,1479.0
2004-02-29,1357.0
2004-03-31,1424.0
2004-04-30,1399.0
2004-05-31,1547.0
2004-06-30,1599.0
2004-07-31,1525.0
2004-08-31,1452.0
2004-09-30,1397.0
2004-10-31,1515.0
2004-11-30,1431.0
2004-12-31,1338.0
2005-01-31,1280.0
2005-02-28,1324.0
2005-03-31,1404.0
2005-04-30,1407.0
2005-05-31,1581.0
2005-06-30,1442.0
2005-07-31,1285.0
2005-08-31,1444.0
2005-09-30,1121.0
2005-10-31,1393.0
2005-11-30,1554.0
2005-12-31,1487.0
2006-01-31,1583.0
2006-02-28,1624.0
2006-03-31,1508.0
2006-04-30,1443.0
2006-05-31,1418.0
2006-06-30,1656.0
2006-07-31,1475.0
2006-08-31,1595.0
2006-09-30,1339.0
2006-10-31,1348.0
2006-11-30,1303.0
2006-12-31,1128.0
2007-01-31,1333.0
2007-02-28,1254.0
2007-03-31,1429.0
2007-04-30,1312.0
2007-05-31,1314.0
2007-06-30,1249.0
2007-07-31,1363.0
2007-08-31,1204.0
2007-09-30,1200.0
2007-10-31,1180.0
2007-11-30,1160.0
2007-12-31,1042.0
2008-01-31,951.0
2008-02-29,978.0
2008-03-31,1003.0
2008-04-30,1008.0
2008-05-31,882.0
2008-06-30,813.0
2008-07-31,883.0
2008-08-31,1058.0
2008-09-30,763.0
2008-10-31,1200.0
2008-11-30,1162.0
2008-12-31,919.0
2009-01-31,1094.0
2009-02-28,1118.0
2009-03-31,965.0
2009-04-30,1076.0
2009-05-31,856.0
2009-06-30,792.0
2009-07-31,621.0
2009-08-31,851.0
2009-09-30,926.0
2009-10-31,815.0
2009-11-30,769.0
2009-12-31,798.0
2010-01-31,814.0
2010-02-28,757.0
2010-03-31,857.0
2010-04-30,777.0
2010-05-31,1079.0
2010-06-30,777.0
2010-07-31,822.0
2010-08-31,909.0
2010-09-30,927.0
2010-10-31,842.0
2010-11-30,812.0
2010-12-31,657.0
2011-01-31,822.0
2011-02-28,591.0
2011-03-31,698.0
2011-04-30,439.0
2011-05-31,720.0
2011-06-30,701.0
2011-07-31,748.0
2011-08-31,693.0
2011-09-30,582.0
2011-10-31,584.0
2011-11-30,570.0
2011-12-31,479.0
2012-01-31,583.0
2012-02-29,601.0
2012-03-31,400.0
2012-04-30,538.0
2012-05-31,498.0
2012-06-30,455.0
2012-07-31,450.0
2012-08-31,442.0
2012-09-30,506.0
2012-10-31,398.0
2012-11-30,395.0
2012-12-31,380.0
2013-01-31,591.0
2013-02-28,389.0
2013-03-31,112.0
2013-04-30,420.0
2013-05-31,470.0
2013-06-30,411.0
2013-07-31,351.0
2013-08-31,453.0
2013-09-30,373.0
2013-10-31,361.0
2013-11-30,412.0
2013-12-31,305.0
2014-01-31,539.0
2014-02-28,268.0
2014-03-31,332.0
2014-04-30,303.0
2014-05-31,250.0
2014-06-30,322.0
2014-07-31,170.0
2014-08-31,329.0
2014-09-30,292.0
2014-10-31,208.0
2014-11-30,255.0
2014-12-31,131.0
2015-01-31,33.0
2015-02-28,91.0
2015-03-31,348.0
2015-04-30,156.0
2015-05-31,22.0
2015-06-30,198.0
2015-07-31,-51.0
2015-08-31,96.0
2015-09-30,7.0
2015-10-31,22.0
2015-11-30,3.0
2015-12-31,-108.0
2016-01-31,-24.0
2016-02-29,-95.0
2016-03-31,-229.0
2016-04-30,32.0
2016-05-31,-84.0
2016-06-30,-135.0
2016-07-31,-110.0
2016-08-31,-267.0
2016-09-30,-365.0
2016-10-31,-338.0
