Date,Value
1993-01-31,1389.0
1993-02-28,1291.0
1993-03-31,1170.0
1993-04-30,1310.0
1993-05-31,1260.0
1993-06-30,1292.0
1993-07-31,1377.0
1993-08-31,1375.0
1993-09-30,1272.0
1993-10-31,1272.0
1993-11-30,1316.0
1993-12-31,1225.0
1994-01-31,1184.0
1994-02-28,1221.0
1994-03-31,1257.0
1994-04-30,1284.0
1994-05-31,1316.0
1994-06-30,1459.0
1994-07-31,1293.0
1994-08-31,1251.0
1994-09-30,1417.0
1994-10-31,1382.0
1994-11-30,1410.0
1994-12-31,1392.0
1995-01-31,1423.0
1995-02-28,1424.0
1995-03-31,1490.0
1995-04-30,1358.0
1995-05-31,1473.0
1995-06-30,1478.0
1995-07-31,1505.0
1995-08-31,1447.0
1995-09-30,1648.0
1995-10-31,1431.0
1995-11-30,1485.0
1995-12-31,1452.0
1996-01-31,1506.0
1996-02-29,1485.0
1996-03-31,1711.0
1996-04-30,1721.0
1996-05-31,1690.0
1996-06-30,1634.0
1996-07-31,1680.0
1996-08-31,1734.0
1996-09-30,1702.0
1996-10-31,1781.0
1996-11-30,1724.0
1996-12-31,1635.0
1997-01-31,1633.0
1997-02-28,1590.0
1997-03-31,1754.0
1997-04-30,1669.0
1997-05-31,1904.0
1997-06-30,1881.0
1997-07-31,1724.0
1997-08-31,1786.0
1997-09-30,1806.0
1997-10-31,1974.0
1997-11-30,1667.0
1997-12-31,1685.0
1998-01-31,1552.0
1998-02-28,1734.0
1998-03-31,1684.0
1998-04-30,1739.0
1998-05-31,1896.0
1998-06-30,1601.0
1998-07-31,1748.0
1998-08-31,1688.0
1998-09-30,1470.0
1998-10-31,1952.0
1998-11-30,1696.0
1998-12-31,1640.0
1999-01-31,1630.0
1999-02-28,1735.0
1999-03-31,1316.0
1999-04-30,1717.0
1999-05-31,1558.0
1999-06-30,1407.0
1999-07-31,1586.0
1999-08-31,1474.0
1999-09-30,1480.0
1999-10-31,1336.0
1999-11-30,1217.0
1999-12-31,1330.0
2000-01-31,1353.0
2000-02-29,1578.0
2000-03-31,1550.0
2000-04-30,1511.0
2000-05-31,1460.0
2000-06-30,1496.0
2000-07-31,1429.0
2000-08-31,1639.0
2000-09-30,1365.0
2000-10-31,1598.0
2000-11-30,1624.0
2000-12-31,1752.0
2001-01-31,1777.0
2001-02-28,1489.0
2001-03-31,1688.0
2001-04-30,1609.0
2001-05-31,1495.0
2001-06-30,1614.0
2001-07-31,1674.0
2001-08-31,1561.0
2001-09-30,1275.0
2001-10-31,1502.0
2001-11-30,1407.0
2001-12-31,1371.0
2002-01-31,1440.0
2002-02-28,1435.0
2002-03-31,1398.0
2002-04-30,1122.0
2002-05-31,1305.0
2002-06-30,1184.0
2002-07-31,1573.0
2002-08-31,1676.0
2002-09-30,1546.0
2002-10-31,1588.0
2002-11-30,1607.0
2002-12-31,771.0
2003-01-31,403.0
2003-02-28,558.0
2003-03-31,1284.0
2003-04-30,1614.0
2003-05-31,1735.0
2003-06-30,1620.0
2003-07-31,1271.0
2003-08-31,1559.0
2003-09-30,1539.0
2003-10-31,1552.0
2003-11-30,1558.0
2003-12-31,1623.0
2004-01-31,1562.0
2004-02-29,1561.0
2004-03-31,1599.0
2004-04-30,1586.0
2004-05-31,1595.0
2004-06-30,1705.0
2004-07-31,1489.0
2004-08-31,1468.0
2004-09-30,1309.0
2004-10-31,1556.0
2004-11-30,1532.0
2004-12-31,1612.0
2005-01-31,1613.0
2005-02-28,1691.0
2005-03-31,1539.0
2005-04-30,1577.0
2005-05-31,1645.0
2005-06-30,1587.0
2005-07-31,1605.0
2005-08-31,1574.0
2005-09-30,1364.0
2005-10-31,1247.0
2005-11-30,1250.0
2005-12-31,1497.0
2006-01-31,1543.0
2006-02-28,1541.0
2006-03-31,1507.0
2006-04-30,1362.0
2006-05-31,1447.0
