Date,Value
1981-01-31,571321.0
1981-02-28,475689.0
1981-03-31,493111.0
1981-04-30,460490.0
1981-05-31,475943.0
1981-06-30,482838.0
1981-07-31,486154.0
1981-08-31,473143.0
1981-09-30,469637.0
1981-10-31,490471.0
1981-11-30,467780.0
1981-12-31,514481.0
1982-01-31,499843.0
1982-02-28,448039.0
1982-03-31,482375.0
1982-04-30,481389.0
1982-05-31,460244.0
1982-06-30,449944.0
1982-07-31,459437.0
1982-08-31,460018.0
1982-09-30,450658.0
1982-10-31,460615.0
1982-11-30,450272.0
1982-12-31,480104.0
1983-01-31,456390.0
1983-02-28,414173.0
1983-03-31,481756.0
1983-04-30,440764.0
1983-05-31,449646.0
1983-06-30,458664.0
1983-07-31,465584.0
1983-08-31,479884.0
1983-09-30,465176.0
1983-10-31,463830.0
1983-11-30,464995.0
1983-12-31,518504.0
1984-01-31,520825.0
1984-02-29,447678.0
1984-03-31,497551.0
1984-04-30,467046.0
1984-05-31,484217.0
1984-06-30,471260.0
1984-07-31,480430.0
1984-08-31,499611.0
1984-09-30,457421.0
1984-10-31,484110.0
1984-11-30,468797.0
1984-12-31,476629.0
1985-01-31,499385.0
1985-02-28,451396.0
1985-03-31,476552.0
1985-04-30,464151.0
1985-05-31,480611.0
1985-06-30,464487.0
1985-07-31,478444.0
1985-08-31,497862.0
1985-09-30,452970.0
1985-10-31,494249.0
1985-11-30,465083.0
1985-12-31,514951.0
1986-01-31,498728.0
1986-02-28,453209.0
1986-03-31,504565.0
1986-04-30,478339.0
1986-05-31,495789.0
1986-06-30,481482.0
1986-07-31,505514.0
1986-08-31,515167.0
1986-09-30,477269.0
1986-10-31,514674.0
1986-11-30,486633.0
1986-12-31,531060.0
1987-01-31,517210.0
1987-02-28,473425.0
1987-03-31,501109.0
1987-04-30,495706.0
1987-05-31,496806.0
1987-06-30,504892.0
1987-07-31,530502.0
1987-08-31,506741.0
1987-09-30,500097.0
1987-10-31,525173.0
1987-11-30,490290.0
1987-12-31,540790.0
1988-01-31,539481.0
1988-02-29,515026.0
1988-03-31,545962.0
1988-04-30,496816.0
1988-05-31,502103.0
1988-06-30,511781.0
1988-07-31,517536.0
1988-08-31,541955.0
1988-09-30,512149.0
1988-10-31,544972.0
1988-11-30,528590.0
1988-12-31,569322.0
1989-01-31,535329.0
1989-02-28,501749.0
1989-03-31,557660.0
1989-04-30,498719.0
1989-05-31,512928.0
1989-06-30,524903.0
1989-07-31,510039.0
1989-08-31,538172.0
1989-09-30,503850.0
1989-10-31,536411.0
1989-11-30,519331.0
1989-12-31,584589.0
1990-01-31,525878.0
1990-02-28,480896.0
1990-03-31,529703.0
1990-04-30,503351.0
1990-05-31,524350.0
1990-06-30,514961.0
1990-07-31,529591.0
1990-08-31,559565.0
1990-09-30,495360.0
1990-10-31,524967.0
1990-11-30,500850.0
1990-12-31,511328.0
1991-01-31,523670.0
1991-02-28,457486.0
1991-03-31,502581.0
1991-04-30,484163.0
1991-05-31,501860.0
1991-06-30,506333.0
1991-07-31,526087.0
1991-08-31,532675.0
1991-09-30,505429.0
1991-10-31,526870.0
1991-11-30,501911.0
1991-12-31,531485.0
1992-01-31,527375.0
1992-02-29,489886.0
1992-03-31,521571.0
1992-04-30,502929.0
1992-05-31,511048.0
1992-06-30,509344.0
1992-07-31,531442.0
1992-08-31,524787.0
1992-09-30,506265.0
1992-10-31,540892.0
1992-11-30,512730.0
1992-12-31,555755.0
1993-01-31,501374.0
1993-02-28,485354.0
1993-03-31,544816.0
1993-04-30,503439.0
1993-05-31,511747.0
1993-06-30,512878.0
1993-07-31,538070.0
1993-08-31,537278.0
1993-09-30,529508.0
1993-10-31,537012.0
1993-11-30,533395.0
1993-12-31,556536.0
1994-01-31,560233.0
1994-02-28,513444.0
1994-03-31,536696.0
1994-04-30,524661.0
1994-05-31,532616.0
1994-06-30,534461.0
1994-07-31,542046.0
1994-08-31,561618.0
1994-09-30,524709.0
1994-10-31,549299.0
1994-11-30,519447.0
1994-12-31,567899.0
1995-01-31,533785.0
1995-02-28,511803.0
1995-03-31,542000.0
1995-04-30,514265.0
1995-05-31,536097.0
1995-06-30,543919.0
1995-07-31,531547.0
1995-08-31,559362.0
1995-09-30,540776.0
1995-10-31,547183.0
1995-11-30,539379.0
1995-12-31,569360.0
1996-01-31,566079.0
1996-02-29,539974.0
1996-03-31,567321.0
1996-04-30,536547.0
1996-05-31,556654.0
1996-06-30,543207.0
1996-07-31,564533.0
1996-08-31,578396.0
1996-09-30,529637.0
1996-10-31,594302.0
1996-11-30,556054.0
1996-12-31,568355.0
1997-01-31,575184.0
1997-02-28,515145.0
1997-03-31,553739.0
1997-04-30,556769.0
1997-05-31,567078.0
1997-06-30,558515.0
1997-07-31,592306.0
1997-08-31,575517.0
1997-09-30,556849.0
1997-10-31,591200.0
1997-11-30,557349.0
1997-12-31,596759.0
1998-01-31,569212.0
1998-02-28,512856.0
1998-03-31,579239.0
1998-04-30,571320.0
1998-05-31,569624.0
1998-06-30,575446.0
1998-07-31,603451.0
1998-08-31,599748.0
1998-09-30,566848.0
1998-10-31,594824.0
1998-11-30,560190.0
1998-12-31,601998.0
1999-01-31,589894.0
1999-02-28,534991.0
1999-03-31,604395.0
1999-04-30,574548.0
1999-05-31,579867.0
1999-06-30,595094.0
1999-07-31,614423.0
1999-08-31,622884.0
1999-09-30,584477.0
1999-10-31,615915.0
1999-11-30,572616.0
1999-12-31,635453.0
2000-01-31,589799.0
2000-02-29,569417.0
2000-03-31,595752.0
2000-04-30,564493.0
2000-05-31,607755.0
2000-06-30,601623.0
2000-07-31,610585.0
2000-08-31,635381.0
2000-09-30,596968.0
2000-10-31,613744.0
2000-11-30,579827.0
2000-12-31,645249.0
2001-01-31,622856.0
2001-02-28,551303.0
2001-03-31,616161.0
2001-04-30,591867.0
2001-05-31,604530.0
2001-06-30,586829.0
2001-07-31,617494.0
2001-08-31,624740.0
2001-09-30,570485.0
2001-10-31,614536.0
2001-11-30,581879.0
2001-12-31,589098.0
2002-01-31,603059.0
2002-02-28,544423.0
2002-03-31,609965.0
2002-04-30,586562.0
2002-05-31,611573.0
2002-06-30,596246.0
2002-07-31,622351.0
2002-08-31,626859.0
2002-09-30,583828.0
2002-10-31,610030.0
2002-11-30,599736.0
2002-12-31,618244.0
2003-01-31,620512.0
2003-02-28,570500.0
2003-03-31,610933.0
2003-04-30,594912.0
2003-05-31,599655.0
2003-06-30,593798.0
2003-07-31,622911.0
2003-08-31,638153.0
2003-09-30,597976.0
2003-10-31,625647.0
2003-11-30,596180.0
2003-12-31,641053.0
2004-01-31,634855.0
