Date,Value
2005-01-31,15254.0
2005-02-28,15142.0
2005-03-31,15214.0
2005-04-30,15494.0
2005-05-31,15905.0
2005-06-30,16401.0
2005-07-31,15850.0
2005-08-31,15664.0
2005-09-30,13986.0
2005-10-31,13646.0
2005-11-30,15032.0
2005-12-31,15046.0
2006-01-31,14805.0
2006-02-28,14581.0
2006-03-31,14582.0
2006-04-30,14928.0
2006-05-31,15516.0
2006-06-30,15843.0
2006-07-31,15702.0
2006-08-31,15792.0
2006-09-30,15739.0
2006-10-31,15008.0
2006-11-30,15009.0
2006-12-31,15354.0
2007-01-31,14992.0
2007-02-28,14435.0
2007-03-31,14840.0
2007-04-30,15045.0
2007-05-31,15380.0
2007-06-30,15248.0
2007-07-31,15671.0
2007-08-31,15685.0
2007-09-30,15226.0
2007-10-31,14933.0
2007-11-30,15151.0
2007-12-31,15202.0
2008-01-31,14804.0
2008-02-29,14625.0
2008-03-31,14364.0
2008-04-30,14799.0
2008-05-31,15263.0
2008-06-30,15417.0
2008-07-31,15255.0
2008-08-31,14947.0
2008-09-30,12759.0
2008-10-31,14552.0
2008-11-30,14606.0
2008-12-31,14352.0
2009-01-31,14146.0
2009-02-28,14134.0
2009-03-31,14118.0
2009-04-30,14382.0
2009-05-31,14483.0
2009-06-30,14850.0
2009-07-31,14636.0
2009-08-31,14593.0
2009-09-30,14710.0
2009-10-31,14095.0
2009-11-30,13898.0
2009-12-31,13983.0
2010-01-31,13666.0
2010-02-28,13950.0
2010-03-31,14314.0
2010-04-30,15131.0
2010-05-31,15215.0
2010-06-30,15382.0
2010-07-31,15519.0
2010-08-31,15110.0
2010-09-30,14740.0
2010-10-31,14000.0
2010-11-30,14637.0
2010-12-31,14976.0
2011-01-31,14423.0
2011-02-28,13676.0
2011-03-31,14451.0
2011-04-30,14231.0
2011-05-31,14718.0
2011-06-30,15294.0
2011-07-31,15589.0
2011-08-31,15556.0
2011-09-30,15275.0
2011-10-31,14570.0
2011-11-30,14960.0
2011-12-31,14842.0
2012-01-31,14374.0
2012-02-29,14615.0
2012-03-31,14476.0
2012-04-30,14609.0
2012-05-31,15097.0
2012-06-30,15637.0
2012-07-31,15665.0
2012-08-31,15325.0
2012-09-30,14910.0
2012-10-31,14843.0
2012-11-30,15085.0
2012-12-31,15330.0
2013-01-31,14567.0
2013-02-28,14230.0
2013-03-31,14703.0
2013-04-30,14864.0
2013-05-31,15305.0
2013-06-30,15833.0
2013-07-31,16042.0
2013-08-31,15793.0
2013-09-30,15636.0
2013-10-31,14991.0
2013-11-30,15633.0
2013-12-31,16069.0
2014-01-31,15311.0
2014-02-28,15128.0
2014-03-31,15116.0
2014-04-30,15864.0
2014-05-31,15946.0
2014-06-30,15817.0
2014-07-31,16534.0
2014-08-31,16460.0
2014-09-30,16074.0
2014-10-31,15361.0
2014-11-30,16043.0
2014-12-31,16469.0
2015-01-31,15456.0
2015-02-28,15342.0
2015-03-31,15640.0
2015-04-30,16273.0
2015-05-31,16402.0
2015-06-30,16701.0
2015-07-31,16879.0
2015-08-31,16700.0
2015-09-30,16168.0
2015-10-31,15440.0
2015-11-30,16458.0
2015-12-31,16742.0
2016-01-31,15994.0
2016-02-29,15884.0
2016-03-31,16105.0
2016-04-30,15942.0
2016-05-31,16276.0
2016-06-30,16432.0
2016-07-31,16640.0
2016-08-31,16592.0
2016-09-30,16356.0
2016-10-31,15454.0
