Date,Value
1982-08-20,270455.0
1982-08-27,272603.0
1982-09-24,276833.0
1982-10-01,277633.0
1982-10-08,278725.0
1982-10-15,280802.0
1982-10-22,283393.0
1982-10-29,284268.0
1982-11-05,284906.0
1982-11-12,286198.0
1982-11-19,286335.0
1982-11-26,288156.0
1982-12-03,289963.0
1982-12-10,291509.0
1982-12-17,291718.0
1982-12-24,292488.0
1982-12-31,293214.0
1983-01-07,294818.0
1983-01-14,295440.0
1983-01-21,296684.0
1983-01-28,298379.0
1983-02-04,300917.0
1983-02-11,301960.0
1983-02-18,303746.0
1983-02-25,305348.0
1983-03-04,306964.0
1983-03-11,308517.0
1983-03-18,309756.0
1983-03-25,310320.0
1983-04-01,311841.0
1983-04-08,313583.0
1983-04-15,314817.0
1983-04-29,317456.0
1983-05-13,320749.0
1983-05-20,324116.0
1983-06-03,326832.0
1983-06-10,327402.0
1983-06-17,327971.0
1983-06-24,330079.0
1983-07-01,332136.0
1983-07-08,334661.0
1983-07-15,335797.0
1983-07-22,337901.0
1983-07-29,339962.0
1983-08-05,341779.0
1983-08-12,343932.0
1983-08-19,345689.0
1983-08-26,349031.0
1983-09-02,351783.0
1983-09-09,353339.0
1983-09-16,355695.0
1983-09-23,358289.0
1983-09-30,360456.0
1983-10-07,361276.0
1983-10-14,364933.0
1983-10-21,365212.0
1983-10-28,366141.0
1983-11-04,368324.0
1983-11-11,369566.0
1983-11-18,370160.0
1983-11-25,370630.0
1983-12-02,371291.0
1983-12-09,374518.0
1983-12-16,375005.0
1983-12-23,377184.0
1983-12-30,378309.0
1984-01-06,380664.0
1984-01-13,382600.0
1984-01-20,383796.0
1984-01-27,384455.0
1984-02-03,384770.0
1984-02-10,385472.0
1984-02-17,386277.0
1984-02-24,386935.0
1984-03-02,387234.0
1984-03-09,387559.0
1984-03-16,388737.0
1984-03-23,389265.0
1984-03-30,391798.0
1984-04-06,393499.0
1984-04-13,393499.0
1984-04-20,395330.0
1984-04-27,395957.0
1984-05-04,397205.0
1984-05-11,398454.0
1984-05-18,399500.0
1984-05-25,400842.0
1984-06-01,402825.0
1984-06-08,405194.0
1984-06-15,408365.0
1984-06-22,408730.0
1984-06-29,412610.0
1984-07-06,413730.0
1984-07-13,417032.0
1984-07-20,418845.0
1984-07-27,420094.0
1984-08-03,423899.0
1984-08-10,426110.0
1984-08-17,427600.0
1984-08-24,428280.0
1984-08-31,429467.0
1984-09-07,430101.0
1984-09-14,430101.0
1984-09-21,430407.0
1984-09-28,431066.0
1984-10-05,432086.0
1984-10-12,433080.0
1984-10-19,433396.0
1984-10-26,433895.0
1984-11-02,436093.0
1984-11-09,438731.0
1984-11-16,439228.0
1984-11-23,441273.0
1984-11-30,443046.0
1984-12-07,444074.0
1984-12-14,446094.0
1984-12-21,447559.0
1984-12-28,449157.0
1985-01-04,450505.0
1985-01-11,450851.0
1985-01-18,453800.0
1985-01-25,454165.0
1985-02-01,457232.0
