Date,Value
1991-02-08,1224.0
1991-02-15,1224.0
1991-02-22,1510.0
1991-03-01,1510.0
1991-03-08,1025.0
1991-03-15,1025.0
1991-03-22,1025.0
1991-03-29,1025.0
1991-04-05,871.0
1991-04-12,871.0
1991-04-19,871.0
1991-04-26,871.0
1991-05-03,892.0
1991-05-10,892.0
1991-05-17,892.0
1991-05-24,892.0
1991-05-31,892.0
1991-06-07,1062.0
1991-06-14,1062.0
1991-06-21,1062.0
1991-06-28,1062.0
1991-07-05,882.0
1991-07-12,882.0
1991-07-19,882.0
1991-07-26,882.0
1991-08-02,1002.0
1991-08-09,1002.0
1991-08-16,1002.0
1991-08-23,1002.0
1991-08-30,1002.0
1991-09-06,798.0
1991-09-13,798.0
1991-09-20,798.0
1991-09-27,798.0
1991-10-04,1047.0
1991-10-11,1047.0
1991-10-18,1047.0
1991-10-25,1032.0
1991-11-01,1032.0
1991-11-08,1009.0
1991-11-15,1009.0
1991-11-22,1009.0
1991-11-29,1042.0
1991-12-06,983.0
1991-12-13,983.0
1991-12-20,983.0
1991-12-27,1020.0
1992-01-03,976.0
1992-01-10,976.0
1992-01-17,976.0
1992-01-24,1007.0
1992-01-31,1007.0
1992-02-07,1039.0
1992-02-14,1039.0
1992-02-21,1039.0
1992-02-28,1029.0
1992-03-06,1090.0
1992-03-13,1090.0
1992-03-20,1090.0
1992-03-27,1195.0
1992-04-03,1114.0
1992-04-10,1114.0
1992-04-17,1114.0
1992-04-24,1057.0
1992-05-01,1057.0
1992-05-08,986.0
1992-05-15,986.0
1992-05-22,986.0
1992-05-29,986.0
1992-06-05,945.0
1992-06-12,945.0
1992-06-19,945.0
1992-06-26,957.0
1992-07-03,972.0
1992-07-10,972.0
1992-07-17,972.0
1992-07-24,981.0
1992-07-31,981.0
1992-08-07,947.0
1992-08-14,947.0
1992-08-21,947.0
1992-08-28,972.0
1992-09-04,994.0
1992-09-11,994.0
1992-09-18,994.0
1992-09-25,1016.0
1992-10-02,1062.0
1992-10-09,1062.0
1992-10-16,1062.0
1992-10-23,1072.0
1992-10-30,1072.0
1992-11-06,1011.0
1992-11-13,1011.0
1992-11-20,1011.0
1992-11-27,990.0
1992-12-04,1061.0
1992-12-11,1061.0
1992-12-18,1061.0
1992-12-25,1071.0
1993-01-01,1071.0
1993-01-08,1103.0
1993-01-15,1103.0
1993-01-22,1103.0
1993-01-29,1102.0
1993-02-05,1029.0
1993-02-12,1029.0
1993-02-19,1029.0
1993-02-26,1044.0
1993-03-05,1021.0
1993-03-12,1021.0
1993-03-19,1021.0
1993-03-26,1021.0
1993-04-02,986.0
1993-04-09,986.0
1993-04-16,986.0
1993-04-23,986.0
1993-04-30,981.0
1993-05-07,962.0
1993-05-14,962.0
1993-05-21,962.0
1993-05-28,962.0
1993-06-04,1004.0
1993-06-11,1004.0
1993-06-18,1004.0
1993-06-25,1002.0
1993-07-02,954.0
1993-07-09,954.0
1993-07-16,850.0
1993-07-23,856.0
1993-07-30,842.0
1993-08-06,845.0
1993-08-13,845.0
1993-08-20,845.0
1993-08-27,816.0
1993-09-03,866.0
1993-09-10,866.0
1993-09-17,885.0
1993-09-24,885.0
1993-10-01,914.0
1993-10-08,858.0
1993-10-15,858.0
1993-10-22,848.0
1993-10-29,848.0
1993-11-05,860.0
1993-11-12,860.0
1993-11-19,860.0
1993-11-26,865.0
1993-12-03,876.0
1993-12-10,876.0
1993-12-17,876.0
1993-12-24,864.0
1993-12-31,864.0
1994-01-07,866.0
1994-01-14,866.0
1994-01-21,866.0
1994-01-28,893.0
1994-02-04,871.0
1994-02-11,871.0
1994-02-18,871.0
1994-02-25,924.0
1994-03-04,872.0
1994-03-11,872.0
1994-03-18,872.0
1994-03-25,872.0
1994-04-01,848.0
1994-04-08,871.0
1994-04-15,871.0
1994-04-22,871.0
1994-04-29,880.0
1994-05-06,886.0
1994-05-13,886.0
1994-05-20,886.0
1994-05-27,914.0
1994-06-03,886.0
1994-06-10,886.0
1994-06-17,886.0
1994-06-24,886.0
1994-07-01,875.0
1994-07-08,854.0
1994-07-15,854.0
1994-07-22,854.0
1994-07-29,863.0
1994-08-05,895.0
1994-08-12,895.0
1994-08-19,895.0
1994-08-26,896.0
1994-09-02,905.0
1994-09-09,905.0
1994-09-16,905.0
1994-09-23,905.0
1994-09-30,913.0
1994-10-07,895.0
1994-10-14,895.0
1994-10-21,895.0
1994-10-28,927.0
1994-11-04,910.0
1994-11-11,910.0
1994-11-18,910.0
1994-11-25,910.0
1994-12-02,923.0
1994-12-09,923.0
1994-12-16,923.0
1994-12-23,923.0
1994-12-30,938.0
1995-01-06,924.0
1995-01-13,924.0
1995-01-20,924.0
1995-01-27,961.0
1995-02-03,907.0
1995-02-10,907.0
1995-02-17,907.0
1995-02-24,907.0
1995-03-03,995.0
1995-03-10,995.0
1995-03-17,995.0
1995-03-24,995.0
1995-03-31,985.0
1995-04-07,958.0
1995-04-14,958.0
