Date,Value
1991-02-08,6877.0
1991-02-15,6573.0
1991-02-22,6221.0
1991-03-01,6188.0
1991-03-08,7127.0
1991-03-15,6041.0
1991-03-22,6741.0
1991-03-29,6732.0
1991-04-05,7285.0
1991-04-12,7549.0
1991-04-19,6505.0
1991-04-26,7333.0
1991-05-03,7088.0
1991-05-10,8446.0
1991-05-17,7470.0
1991-05-24,7965.0
1991-05-31,8805.0
1991-06-07,8433.0
1991-06-14,7989.0
1991-06-21,7615.0
1991-06-28,9091.0
1991-07-05,6552.0
1991-07-12,7274.0
1991-07-19,8478.0
1991-07-26,7152.0
1991-08-02,7537.0
1991-08-09,8072.0
1991-08-16,9154.0
1991-08-23,8413.0
1991-08-30,7908.0
1991-09-06,8393.0
1991-09-13,7381.0
1991-09-20,9087.0
1991-09-27,7747.0
1991-10-04,6943.0
1991-10-11,7324.0
1991-10-18,7539.0
1991-10-25,7120.0
1991-11-01,6717.0
1991-11-08,7757.0
1991-11-15,8220.0
1991-11-22,7637.0
1991-11-29,6384.0
1991-12-06,8463.0
1991-12-13,7950.0
1991-12-20,7322.0
1991-12-27,7714.0
1992-01-03,6157.0
1992-01-10,8059.0
1992-01-17,7479.0
1992-01-24,6803.0
1992-01-31,7713.0
1992-02-07,5775.0
1992-02-14,7926.0
1992-02-21,5921.0
1992-02-28,8264.0
1992-03-06,6586.0
1992-03-13,7238.0
1992-03-20,6808.0
1992-03-27,7079.0
1992-04-03,6990.0
1992-04-10,8402.0
1992-04-17,7796.0
1992-04-24,7324.0
1992-05-01,7830.0
1992-05-08,7685.0
1992-05-15,7527.0
1992-05-22,8421.0
1992-05-29,7355.0
1992-06-05,8135.0
1992-06-12,7633.0
1992-06-19,7837.0
1992-06-26,6779.0
1992-07-03,7580.0
1992-07-10,9540.0
1992-07-17,8279.0
1992-07-24,7832.0
1992-07-31,8432.0
1992-08-07,7492.0
1992-08-14,9476.0
1992-08-21,8085.0
1992-08-28,7974.0
1992-09-04,7426.0
1992-09-11,8479.0
1992-09-18,8437.0
1992-09-25,7736.0
1992-10-02,8092.0
1992-10-09,8342.0
1992-10-16,10208.0
1992-10-23,7601.0
1992-10-30,8563.0
1992-11-06,8495.0
1992-11-13,7003.0
1992-11-20,8366.0
1992-11-27,7999.0
1992-12-04,8197.0
1992-12-11,8353.0
1992-12-18,8256.0
1992-12-25,7110.0
1993-01-01,7963.0
1993-01-08,8824.0
1993-01-15,7840.0
1993-01-22,8423.0
1993-01-29,8132.0
1993-02-05,8280.0
1993-02-12,8245.0
1993-02-19,7574.0
1993-02-26,8335.0
1993-03-05,7165.0
1993-03-12,8706.0
1993-03-19,7426.0
1993-03-26,9226.0
1993-04-02,7501.0
1993-04-09,8956.0
1993-04-16,7976.0
1993-04-23,8715.0
1993-04-30,9418.0
1993-05-07,8048.0
1993-05-14,9061.0
1993-05-21,7904.0
