Date,Value
1994-01-31,9.4549721613
1994-02-28,9.3138614286
1994-03-31,9.3804605484
1994-04-30,9.3023026667
1994-05-31,9.3381289677
1994-06-30,9.3798556667
1994-07-31,9.3304279677
1994-08-31,9.2714101613
1994-09-30,9.4403376667
1994-10-31,9.4414044839
1994-11-30,9.571165
1994-12-31,9.7252740645
1995-01-31,9.5583086129
1995-02-28,9.6425954286
1995-03-31,9.3091867097
1995-04-30,9.4488833333
1995-05-31,9.496316
1995-06-30,9.3919623333
1995-07-31,9.2769972258
1995-08-31,9.2716844516
1995-09-30,9.2799993333
1995-10-31,9.2857693226
1995-11-30,9.482075
1995-12-31,9.3709358065
1996-01-31,9.3456835484
1996-02-29,9.3477288966
1996-03-31,9.5060065161
1996-04-30,9.429641
1996-05-31,9.3570237419
1996-06-30,9.369606
1996-07-31,9.3268366452
1996-08-31,9.366973871
1996-09-30,9.5154543333
1996-10-31,9.516778
1996-11-30,9.6352693333
1996-12-31,9.6219323226
1997-01-31,9.2347329355
1997-02-28,9.5257541429
1997-03-31,9.4239500323
1997-04-30,9.4120283333
1997-05-31,9.4972288065
1997-06-30,9.4637536667
1997-07-31,9.4658439677
1997-08-31,9.4058699677
1997-09-30,9.558224
1997-10-31,9.5198936129
1997-11-30,9.455082
1997-12-31,9.5690118065
1998-01-31,9.6282683548
1998-02-28,9.550255
1998-03-31,9.4428711935
1998-04-30,9.5565506667
1998-05-31,9.4259693871
1998-06-30,9.3319663333
1998-07-31,9.0210260645
1998-08-31,9.2354145806
1998-09-30,8.759779
1998-10-31,9.1290819355
1998-11-30,9.2690296667
1998-12-31,9.0035458387
1999-01-31,8.8525498065
1999-02-28,8.9252664286
1999-03-31,8.7719873226
1999-04-30,8.880136
1999-05-31,8.9189424194
1999-06-30,8.8773323333
1999-07-31,8.8810310323
1999-08-31,8.9655545484
1999-09-30,9.0523383333
1999-10-31,9.2583085806
1999-11-30,9.2137893333
1999-12-31,9.3185729677
2000-01-31,9.0310854194
2000-02-29,9.1274595172
2000-03-31,9.2393363226
2000-04-30,9.1560326667
2000-05-31,9.1402840645
2000-06-30,9.0800476667
2000-07-31,8.9775222581
2000-08-31,9.015508
2000-09-30,9.0567283333
2000-10-31,9.0781277097
2000-11-30,9.0866686667
2000-12-31,8.7203305806
2001-01-31,8.4529562258
2001-02-28,8.8243815714
2001-03-31,8.9757648387
2001-04-30,8.9646333333
2001-05-31,9.056717
2001-06-30,8.941458
2001-07-31,8.9661812903
2001-08-31,8.9154505161
2001-09-30,9.0007916667
2001-10-31,9.128496871
2001-11-30,9.2412423333
2001-12-31,9.0162348065
2002-01-31,9.0390422258
2002-02-28,9.087807
2002-03-31,9.1184349355
2002-04-30,9.1308396667
2002-05-31,9.2917310645
2002-06-30,9.1240213333
2002-07-31,8.9542040645
2002-08-31,9.1392524194
2002-09-30,8.6851456667
2002-10-31,8.5497005806
2002-11-30,8.950929
2002-12-31,8.9241700968
2003-01-31,8.8710333871
2003-02-28,8.924434
2003-03-31,8.912686871
2003-04-30,8.733349
2003-05-31,8.6774107097
2003-06-30,8.6339436667
2003-07-31,8.523478
2003-08-31,8.6967377097
2003-09-30,8.896109
2003-10-31,8.752284871
2003-11-30,8.7539536667
2003-12-31,8.822805871
2004-01-31,8.7952070968
2004-02-29,8.8258923103
2004-03-31,8.875780129
2004-04-30,8.811512
2004-05-31,8.7996780968
2004-06-30,8.592893
2004-07-31,8.7342962258
2004-08-31,8.7232261935
2004-09-30,8.302037
2004-10-31,8.486164
2004-11-30,8.847802
2004-12-31,8.8750984516
2005-01-31,8.6919419355
2005-02-28,8.7996691429
2005-03-31,8.8538795806
2005-04-30,8.8871133333
2005-05-31,8.9333249032
2005-06-30,8.7091743333
2005-07-31,8.3661087419
2005-08-31,8.3796553226
2005-09-30,7.0700183333
2005-10-31,7.3862239032
2005-11-30,7.9386356667
2005-12-31,7.9341307097
2006-01-31,8.2135710968
2006-02-28,8.2072035714
2006-03-31,8.0893117742
2006-04-30,8.2348143333
2006-05-31,8.349228871
2006-06-30,8.3910296667
2006-07-31,8.3764586774
2006-08-31,8.3875944516
2006-09-30,8.3475306667
2006-10-31,8.3752260968
2006-11-30,8.2988343333
2006-12-31,8.4912382903
2007-01-31,8.3706335484
2007-02-28,8.3364051429
2007-03-31,8.4174372258
2007-04-30,8.4770116667
2007-05-31,8.5448160968
2007-06-30,8.4575126667
2007-07-31,8.4614061613
2007-08-31,8.3892663226
2007-09-30,8.342786
2007-10-31,8.5112076774
2007-11-30,8.5961563333
2007-12-31,8.7116689355
2008-01-31,8.6673803226
2008-02-29,8.6822914483
2008-03-31,8.7394283871
2008-04-30,8.7276046667
2008-05-31,8.891639129
2008-06-30,8.7449053333
2008-07-31,8.8749064516
2008-08-31,8.7194977742
2008-09-30,7.1300013333
2008-10-31,8.3380169032
2008-11-30,8.6878163333
2008-12-31,8.5390038065
2009-01-31,8.6203484194
2009-02-28,8.7966322857
2009-03-31,8.8581218387
2009-04-30,8.9739866667
2009-05-31,9.1565699032
2009-06-30,9.1310143333
2009-07-31,9.2020548387
2009-08-31,9.2373682258
2009-09-30,9.4795456667
2009-10-31,9.3970107097
2009-11-30,9.305283
2009-12-31,9.4211251613
2010-01-31,9.3639641935
2010-02-28,9.6768757143
2010-03-31,9.6718942258
2010-04-30,9.517368
2010-05-31,9.619302
2010-06-30,9.543182
2010-07-31,9.4959015161
2010-08-31,9.7108977742
2010-09-30,9.857472
2010-10-31,9.8405668387
2010-11-30,9.9130886667
2010-12-31,10.058678613
2011-01-31,9.7816352903
2011-02-28,9.4846861429
2011-03-31,9.9945672903
2011-04-30,9.923791
2011-05-31,10.087507097
2011-06-30,10.051555667
2011-07-31,9.917066871
2011-08-31,10.221807516
2011-09-30,10.045557333
2011-10-31,10.457507871
2011-11-30,10.722475333
2011-12-31,10.812203161
2012-01-31,10.795575161
2012-02-29,10.909144138
2012-03-31,10.872540484
2012-04-30,10.814949667
2012-05-31,10.996191548
2012-06-30,10.900917667
2012-07-31,10.933879452
2012-08-31,10.929247
2012-09-30,11.152463333
2012-10-31,11.537066161
2012-11-30,11.706547
2012-12-31,11.748158097
2013-01-31,11.588006387
2013-02-28,11.672568714
2013-03-31,11.828806097
2013-04-30,12.168205333
2013-05-31,12.114107226
2013-06-30,12.114153667
2013-07-31,12.458214806
2013-08-31,12.588362548
2013-09-30,12.883947
2013-10-31,12.822683129
2013-11-30,13.059664333
2013-12-31,13.086162516
2014-01-31,13.041873129
2014-02-28,13.093705143
2014-03-31,13.311131516
2014-04-30,13.895184
2014-05-31,13.848256548
2014-06-30,14.259863
2014-07-31,14.347796387
2014-08-31,14.443720032
2014-09-30,14.525492
2014-10-31,14.725307774
2014-11-30,14.899299333
2014-12-31,15.125862226
2015-01-31,14.769122387
2015-02-28,14.948257143
2015-03-31,15.065014419
2015-04-30,15.327819
2015-05-31,15.21988829
2015-06-30,15.024047667
2015-07-31,15.215832677
2015-08-31,15.204760419
2015-09-30,15.200976667
2015-10-31,15.18878029
2015-11-30,15.217529667
2015-12-31,15.092941032
2016-01-31,14.933121774
2016-02-29,14.868480793
2016-03-31,15.061433452
2016-04-30,14.834273667
2016-05-31,14.986492516
2016-06-30,14.808949667
2016-07-31,14.842780935
2016-08-31,14.685019
2016-09-30,14.489021667
2016-10-31,14.604245298
2016-11-30,14.742870567
2016-12-31,14.6971333
2017-01-31,14.5347489
2017-02-28,14.4851429
2017-03-31,14.6949328
2017-04-30,14.7522508
2017-05-31,14.8914376
2017-06-30,15.0083315
2017-07-31,15.1170875
2017-08-31,15.0934915
2017-09-30,15.0588829
2017-10-31,15.2634952
2017-11-30,15.5115204
2017-12-31,15.5773831
